Line,Shot,Time,Min feather,Max feather,Avg feather
2337,4477,1252223693,0.04,0.15,0.08
2337,4476,1252223699,0.04,0.15,0.08
2337,4475,1252223704,0.05,0.16,0.08
2337,4474,1252223709,0.05,0.16,0.09
2337,4473,1252223714,0.06,0.16,0.09
2337,4472,1252223720,0.06,0.17,0.09
2337,4471,1252223725,0.07,0.17,0.10
2337,4470,1252223730,0.07,0.17,0.10
2337,4469,1252223735,0.08,0.18,0.11
2337,4468,1252223740,0.08,0.18,0.11
2337,4467,1252223746,0.09,0.18,0.12
2337,4466,1252223751,0.09,0.19,0.12
2337,4465,1252223756,0.10,0.19,0.12
2337,4464,1252223762,0.10,0.19,0.13
2337,4463,1252223767,0.11,0.20,0.13
2337,4462,1252223772,0.11,0.20,0.13
2337,4461,1252223777,0.11,0.20,0.14
2337,4460,1252223782,0.12,0.21,0.14
2337,4459,1252223788,0.12,0.21,0.15
2337,4458,1252223793,0.13,0.21,0.15
2337,4457,1252223798,0.13,0.22,0.15
2337,4456,1252223803,0.13,0.22,0.16
2337,4455,1252223809,0.14,0.22,0.16
2337,4454,1252223814,0.14,0.23,0.16
2337,4453,1252223819,0.14,0.23,0.17
2337,4452,1252223824,0.15,0.23,0.17
2337,4451,1252223830,0.15,0.24,0.17
2337,4450,1252223835,0.15,0.24,0.18
2337,4449,1252223840,0.16,0.24,0.18
2337,4448,1252223846,0.16,0.25,0.18
2337,4447,1252223851,0.16,0.25,0.19
2337,4446,1252223856,0.17,0.26,0.19
2337,4445,1252223861,0.17,0.26,0.19
2337,4444,1252223867,0.17,0.26,0.20
2337,4443,1252223872,0.18,0.26,0.20
2337,4442,1252223877,0.18,0.27,0.20
2337,4441,1252223882,0.17,0.27,0.20
2337,4440,1252223888,0.17,0.27,0.21
2337,4439,1252223893,0.17,0.27,0.21
2337,4438,1252223898,0.16,0.27,0.21
2337,4437,1252223903,0.16,0.27,0.21
2337,4436,1252223909,0.16,0.26,0.20
2337,4435,1252223914,0.15,0.26,0.20
2337,4434,1252223919,0.15,0.25,0.19
2337,4433,1252223924,0.15,0.25,0.19
2337,4432,1252223930,0.15,0.24,0.19
2337,4431,1252223935,0.14,0.24,0.19
2337,4430,1252223940,0.14,0.24,0.18
2337,4429,1252223945,0.14,0.23,0.18
2337,4428,1252223951,0.14,0.23,0.18
2337,4427,1252223956,0.14,0.23,0.18
2337,4426,1252223961,0.14,0.23,0.18
2337,4425,1252223966,0.13,0.23,0.17
2337,4424,1252223971,0.13,0.22,0.17
2337,4423,1252223977,0.13,0.22,0.17
2337,4422,1252223982,0.13,0.22,0.17
2337,4421,1252223987,0.13,0.22,0.17
2337,4420,1252223992,0.13,0.21,0.16
2337,4419,1252223998,0.13,0.21,0.16
2337,4418,1252224003,0.12,0.21,0.16
2337,4417,1252224008,0.12,0.21,0.16
2337,4416,1252224013,0.12,0.21,0.16
