Line,Shot,Time,Min feather,Max feather,Avg feather
2761,4128,1251960108,-0.07,0.02,-0.01
2761,4127,1251960113,-0.07,0.02,-0.02
2761,4126,1251960119,-0.07,0.01,-0.02
2761,4125,1251960124,-0.07,0.01,-0.02
2761,4124,1251960130,-0.08,0.01,-0.02
2761,4123,1251960135,-0.08,0.01,-0.03
2761,4122,1251960141,-0.08,0.00,-0.03
2761,4121,1251960146,-0.08,-0.00,-0.03
2761,4120,1251960152,-0.08,-0.00,-0.03
2761,4119,1251960157,-0.08,-0.01,-0.04
2761,4118,1251960163,-0.08,-0.01,-0.04
2761,4117,1251960168,-0.09,-0.02,-0.04
2761,4116,1251960174,-0.09,-0.02,-0.05
2761,4115,1251960179,-0.09,-0.02,-0.05
2761,4114,1251960185,-0.09,-0.02,-0.05
2761,4113,1251960190,-0.10,-0.02,-0.06
2761,4112,1251960196,-0.10,-0.02,-0.06
2761,4111,1251960201,-0.10,-0.03,-0.06
2761,4110,1251960207,-0.11,-0.03,-0.07
2761,4109,1251960212,-0.11,-0.03,-0.07
2761,4108,1251960218,-0.11,-0.04,-0.07
2761,4107,1251960223,-0.12,-0.04,-0.08
2761,4106,1251960229,-0.12,-0.04,-0.08
2761,4105,1251960234,-0.12,-0.04,-0.08
2761,4104,1251960240,-0.12,-0.04,-0.08
2761,4103,1251960245,-0.13,-0.05,-0.08
2761,4102,1251960251,-0.13,-0.05,-0.09
2761,4101,1251960256,-0.13,-0.05,-0.09
2761,4100,1251960262,-0.13,-0.05,-0.09
2761,4099,1251960267,-0.14,-0.05,-0.09
2761,4098,1251960273,-0.14,-0.05,-0.10
2761,4097,1251960278,-0.14,-0.06,-0.10
2761,4096,1251960284,-0.14,-0.06,-0.10
2761,4095,1251960289,-0.14,-0.06,-0.10
2761,4094,1251960295,-0.14,-0.06,-0.10
2761,4093,1251960300,-0.15,-0.06,-0.11
2761,4092,1251960306,-0.15,-0.06,-0.11
2761,4091,1251960311,-0.15,-0.07,-0.11
2761,4090,1251960317,-0.15,-0.07,-0.11
2761,4089,1251960322,-0.15,-0.07,-0.11
2761,4088,1251960328,-0.15,-0.07,-0.11
2761,4087,1251960333,-0.16,-0.07,-0.11
2761,4086,1251960339,-0.16,-0.07,-0.12
2761,4085,1251960344,-0.16,-0.07,-0.12
2761,4084,1251960350,-0.16,-0.07,-0.12
2761,4083,1251960355,-0.16,-0.07,-0.12
2761,4082,1251960361,-0.17,-0.07,-0.12
2761,4081,1251960366,-0.17,-0.07,-0.12
2761,4080,1251960372,-0.17,-0.07,-0.12
2761,4079,1251960377,-0.17,-0.07,-0.12
2761,4078,1251960383,-0.17,-0.07,-0.12
2761,4077,1251960388,-0.17,-0.08,-0.13
2761,4076,1251960394,-0.17,-0.08,-0.13
2761,4075,1251960399,-0.17,-0.08,-0.13
2761,4074,1251960405,-0.18,-0.08,-0.13
2761,4073,1251960410,-0.18,-0.08,-0.13
2761,4072,1251960416,-0.18,-0.08,-0.13
2761,3974,1251960955,-0.27,-0.17,-0.21
2761,3973,1251960960,-0.27,-0.17,-0.21
2761,3972,1251960966,-0.27,-0.17,-0.21
2761,3971,1251960971,-0.27,-0.18,-0.21
2761,3970,1251960977,-0.27,-0.18,-0.21
2761,3969,1251960982,-0.27,-0.18,-0.21
2761,3968,1251960988,-0.27,-0.18,-0.21
2761,3967,1251960993,-0.27,-0.18,-0.21
2761,3966,1251960999,-0.27,-0.18,-0.21
2761,3965,1251961004,-0.27,-0.18,-0.21
2761,3964,1251961010,-0.27,-0.18,-0.21
2761,3963,1251961015,-0.27,-0.18,-0.21
2761,3962,1251961021,-0.27,-0.18,-0.21
2761,3961,1251961026,-0.27,-0.18,-0.21
2761,3960,1251961032,-0.27,-0.18,-0.21
2761,3959,1251961037,-0.27,-0.18,-0.21
2761,3958,1251961043,-0.27,-0.18,-0.21
2761,3957,1251961048,-0.27,-0.18,-0.21
2761,3956,1251961054,-0.26,-0.18,-0.21
2761,3955,1251961059,-0.26,-0.18,-0.21
2761,3954,1251961065,-0.26,-0.18,-0.22
2761,3953,1251961070,-0.26,-0.18,-0.22
2761,3952,1251961076,-0.26,-0.18,-0.22
2761,3951,1251961081,-0.26,-0.18,-0.22
2761,3950,1251961087,-0.26,-0.18,-0.22
2761,3949,1251961092,-0.26,-0.18,-0.22
2761,3948,1251961098,-0.26,-0.18,-0.22
2761,3947,1251961103,-0.26,-0.18,-0.22
2761,3946,1251961109,-0.26,-0.18,-0.22
2761,3945,1251961114,-0.26,-0.19,-0.22
2761,3944,1251961120,-0.26,-0.19,-0.22
2761,3943,1251961125,-0.26,-0.19,-0.22
2761,3942,1251961131,-0.26,-0.19,-0.22
2761,3941,1251961136,-0.26,-0.19,-0.22
2761,3940,1251961141,-0.26,-0.19,-0.22
2761,3939,1251961147,-0.26,-0.19,-0.22
2761,3938,1251961152,-0.26,-0.19,-0.22
2761,3937,1251961158,-0.26,-0.19,-0.22
2761,3936,1251961163,-0.26,-0.19,-0.22
2761,3935,1251961169,-0.26,-0.19,-0.22
2761,3934,1251961174,-0.26,-0.19,-0.22
2761,3933,1251961180,-0.26,-0.19,-0.22
2761,3932,1251961185,-0.26,-0.19,-0.22
2761,3931,1251961191,-0.26,-0.19,-0.22
2761,3930,1251961196,-0.26,-0.19,-0.22
2761,3929,1251961202,-0.26,-0.19,-0.22
2761,3928,1251961207,-0.26,-0.19,-0.22
2761,3927,1251961213,-0.26,-0.19,-0.22
2761,3926,1251961218,-0.26,-0.19,-0.22
2761,3925,1251961224,-0.26,-0.19,-0.22
2761,3924,1251961229,-0.26,-0.19,-0.22
2761,3923,1251961235,-0.26,-0.19,-0.22
2761,3922,1251961240,-0.27,-0.19,-0.23
2761,3921,1251961245,-0.27,-0.19,-0.23
2761,3920,1251961251,-0.27,-0.19,-0.23
2761,3919,1251961256,-0.27,-0.20,-0.23
2761,3918,1251961262,-0.27,-0.20,-0.23
2761,3917,1251961267,-0.27,-0.20,-0.23
2761,3916,1251961273,-0.27,-0.20,-0.23
2761,3915,1251961279,-0.27,-0.20,-0.23
2761,3914,1251961284,-0.27,-0.20,-0.23
2761,3913,1251961290,-0.27,-0.20,-0.23
2761,3912,1251961295,-0.27,-0.20,-0.23
2761,3911,1251961301,-0.27,-0.20,-0.23
2761,3910,1251961306,-0.27,-0.21,-0.23
2761,3909,1251961312,-0.27,-0.21,-0.23
2761,3908,1251961317,-0.27,-0.21,-0.23
2761,3907,1251961323,-0.27,-0.21,-0.23
2761,3906,1251961328,-0.27,-0.21,-0.24
2761,3905,1251961334,-0.27,-0.21,-0.24
2761,3904,1251961339,-0.27,-0.21,-0.24
2761,3903,1251961345,-0.27,-0.21,-0.24
2761,3902,1251961350,-0.28,-0.21,-0.24
2761,3901,1251961356,-0.28,-0.21,-0.24
2761,3900,1251961361,-0.28,-0.21,-0.24
2761,3899,1251961367,-0.28,-0.22,-0.24
2761,3898,1251961372,-0.28,-0.22,-0.24
2761,3897,1251961378,-0.27,-0.21,-0.24
2761,3896,1251961383,-0.27,-0.21,-0.24
2761,3895,1251961389,-0.27,-0.21,-0.24
2761,3894,1251961394,-0.27,-0.21,-0.24
2761,3893,1251961400,-0.27,-0.22,-0.24
2761,3892,1251961405,-0.27,-0.22,-0.24
2761,3891,1251961411,-0.28,-0.22,-0.24
2761,3890,1251961416,-0.28,-0.22,-0.24
2761,3889,1251961422,-0.28,-0.22,-0.24
2761,3888,1251961427,-0.28,-0.22,-0.24
2761,3887,1251961433,-0.28,-0.22,-0.24
2761,3886,1251961438,-0.28,-0.22,-0.24
2761,3885,1251961444,-0.28,-0.22,-0.24
2761,3884,1251961449,-0.28,-0.22,-0.24
2761,3883,1251961455,-0.28,-0.22,-0.24
2761,3882,1251961460,-0.28,-0.22,-0.24
2761,3881,1251961466,-0.28,-0.22,-0.24
2761,3880,1251961471,-0.28,-0.22,-0.24
2761,3879,1251961477,-0.28,-0.22,-0.24
2761,3878,1251961482,-0.28,-0.21,-0.24
2761,3877,1251961488,-0.28,-0.21,-0.24
2761,3876,1251961493,-0.28,-0.21,-0.24
2761,3875,1251961499,-0.28,-0.21,-0.24
2761,3874,1251961504,-0.28,-0.21,-0.24
2761,3873,1251961510,-0.28,-0.21,-0.24
2761,3872,1251961515,-0.28,-0.21,-0.24
2761,3871,1251961521,-0.28,-0.21,-0.24
2761,3870,1251961526,-0.28,-0.21,-0.24
2761,3869,1251961532,-0.28,-0.21,-0.24
2761,3868,1251961537,-0.28,-0.21,-0.24
2761,3867,1251961543,-0.28,-0.21,-0.24
2761,3866,1251961548,-0.28,-0.21,-0.24
2761,3865,1251961554,-0.28,-0.21,-0.25
2761,3864,1251961560,-0.28,-0.22,-0.25
2761,3863,1251961565,-0.28,-0.22,-0.25
2761,3862,1251961570,-0.29,-0.22,-0.25
2761,3861,1251961576,-0.29,-0.22,-0.25
2761,3860,1251961582,-0.29,-0.22,-0.25
2761,3859,1251961587,-0.29,-0.22,-0.25
2761,3858,1251961593,-0.29,-0.22,-0.25
2761,3857,1251961598,-0.29,-0.21,-0.25
2761,3856,1251961604,-0.29,-0.21,-0.25
2761,3855,1251961609,-0.29,-0.21,-0.25
2761,3854,1251961615,-0.29,-0.21,-0.25
2761,3853,1251961620,-0.29,-0.21,-0.25
2761,3852,1251961626,-0.29,-0.21,-0.25
2761,3851,1251961631,-0.29,-0.21,-0.25
2761,3850,1251961637,-0.29,-0.21,-0.25
2761,3849,1251961642,-0.30,-0.21,-0.25
2761,3848,1251961648,-0.30,-0.21,-0.25
2761,3847,1251961653,-0.30,-0.21,-0.25
2761,3846,1251961659,-0.30,-0.21,-0.25
2761,3845,1251961664,-0.30,-0.21,-0.25
2761,3844,1251961670,-0.30,-0.21,-0.25
2761,3843,1251961676,-0.30,-0.21,-0.25
2761,3842,1251961681,-0.30,-0.21,-0.25
2761,3841,1251961687,-0.30,-0.21,-0.25
2761,3840,1251961692,-0.30,-0.21,-0.25
2761,3839,1251961698,-0.30,-0.21,-0.25
2761,3838,1251961703,-0.30,-0.21,-0.25
2761,3837,1251961709,-0.30,-0.21,-0.25
2761,3836,1251961714,-0.30,-0.21,-0.25
2761,3835,1251961720,-0.30,-0.21,-0.25
2761,3834,1251961725,-0.30,-0.21,-0.25
2761,3833,1251961731,-0.30,-0.21,-0.25
2761,3832,1251961736,-0.31,-0.21,-0.25
2761,3831,1251961742,-0.31,-0.21,-0.25
2761,3830,1251961747,-0.31,-0.21,-0.25
2761,3829,1251961753,-0.31,-0.21,-0.25
2761,3828,1251961758,-0.31,-0.21,-0.25
2761,3827,1251961764,-0.31,-0.21,-0.25
2761,3826,1251961769,-0.31,-0.21,-0.25
2761,3825,1251961775,-0.31,-0.21,-0.25
2761,3824,1251961780,-0.31,-0.21,-0.25
2761,3823,1251961786,-0.31,-0.21,-0.25
2761,3822,1251961791,-0.31,-0.21,-0.26
2761,3821,1251961797,-0.31,-0.21,-0.26
2761,3820,1251961802,-0.31,-0.21,-0.26
