Line,Shot,Time,Min feather,Max feather,Avg feather
2761,4128,1251894907,1.91,1.98,1.95
2761,4127,1251894913,1.92,1.98,1.95
2761,4126,1251894918,1.92,1.98,1.96
2761,4125,1251894924,1.92,1.99,1.96
2761,4124,1251894929,1.92,1.99,1.96
2761,4123,1251894935,1.93,1.99,1.96
2761,4122,1251894940,1.93,1.99,1.96
2761,4121,1251894946,1.93,2.00,1.97
2761,4120,1251894952,1.93,2.00,1.97
2761,4119,1251894957,1.93,2.00,1.97
2761,4118,1251894963,1.94,2.00,1.97
2761,4117,1251894968,1.94,2.01,1.97
2761,4116,1251894974,1.94,2.01,1.98
2761,4115,1251894980,1.94,2.01,1.98
2761,4114,1251894985,1.94,2.01,1.98
2761,4113,1251894991,1.95,2.02,1.98
2761,4112,1251894996,1.95,2.02,1.98
2761,4111,1251895002,1.95,2.02,1.98
2761,4110,1251895008,1.95,2.02,1.99
2761,4109,1251895013,1.95,2.02,1.99
2761,4108,1251895019,1.96,2.02,1.99
2761,4107,1251895024,1.96,2.02,1.99
2761,4106,1251895030,1.96,2.03,1.99
2761,4105,1251895035,1.96,2.03,1.99
2761,4104,1251895041,1.96,2.03,1.99
2761,4103,1251895046,1.97,2.03,2.00
2761,4102,1251895052,1.97,2.03,2.00
2761,4101,1251895058,1.97,2.03,2.00
2761,4100,1251895063,1.97,2.03,2.00
2761,4099,1251895069,1.97,2.03,2.00
2761,4098,1251895074,1.97,2.03,2.00
2761,4097,1251895080,1.97,2.04,2.00
2761,4096,1251895085,1.97,2.04,2.00
2761,4095,1251895091,1.98,2.04,2.01
2761,4094,1251895097,1.98,2.04,2.01
2761,4093,1251895102,1.98,2.04,2.01
2761,4092,1251895108,1.98,2.05,2.01
2761,4091,1251895113,1.98,2.05,2.01
2761,4090,1251895119,1.99,2.05,2.02
2761,4089,1251895124,1.99,2.05,2.02
2761,4088,1251895130,1.99,2.05,2.02
2761,4087,1251895136,1.99,2.05,2.02
2761,4086,1251895141,2.00,2.05,2.03
2761,4085,1251895147,2.00,2.06,2.03
2761,4084,1251895152,2.00,2.06,2.03
2761,4083,1251895158,2.01,2.06,2.03
2761,4082,1251895163,2.01,2.06,2.04
2761,4081,1251895169,2.01,2.07,2.04
2761,4080,1251895174,2.01,2.07,2.04
2761,3974,1251895763,2.24,2.44,2.34
2761,3973,1251895768,2.25,2.44,2.34
2761,3972,1251895774,2.25,2.44,2.34
2761,3971,1251895779,2.25,2.44,2.35
2761,3970,1251895785,2.25,2.44,2.35
2761,3969,1251895790,2.25,2.44,2.35
2761,3968,1251895796,2.26,2.44,2.35
2761,3967,1251895801,2.26,2.44,2.35
2761,3966,1251895807,2.26,2.44,2.36
2761,3965,1251895812,2.27,2.45,2.36
2761,3964,1251895818,2.27,2.45,2.36
2761,3963,1251895823,2.27,2.45,2.36
2761,3962,1251895829,2.27,2.45,2.36
2761,3961,1251895834,2.27,2.45,2.36
2761,3960,1251895840,2.28,2.45,2.37
2761,3959,1251895846,2.28,2.45,2.37
2761,3958,1251895851,2.28,2.45,2.37
2761,3957,1251895857,2.29,2.45,2.37
2761,3956,1251895862,2.29,2.45,2.38
2761,3955,1251895868,2.29,2.45,2.38
2761,3954,1251895873,2.30,2.46,2.38
2761,3953,1251895879,2.30,2.46,2.38
2761,3952,1251895884,2.30,2.46,2.38
2761,3951,1251895890,2.30,2.46,2.39
2761,3950,1251895895,2.31,2.46,2.39
2761,3949,1251895901,2.31,2.46,2.39
2761,3948,1251895906,2.31,2.46,2.39
2761,3947,1251895912,2.31,2.46,2.39
