Line,Shot,Time,Min feather,Max feather,Avg feather
3503,4813,1251822456,1.46,1.53,1.50
3503,4812,1251822461,1.47,1.53,1.51
3503,4811,1251822467,1.45,1.56,1.50
3503,4810,1251822472,1.45,1.56,1.50
3503,4809,1251822478,1.45,1.56,1.50
3503,4808,1251822483,1.45,1.56,1.50
3503,4807,1251822489,1.45,1.56,1.50
3503,4806,1251822494,1.45,1.56,1.49
3503,4805,1251822499,1.45,1.56,1.49
3503,4804,1251822505,1.45,1.56,1.49
3503,4803,1251822510,1.45,1.55,1.49
3503,4802,1251822516,1.44,1.55,1.49
3503,4801,1251822521,1.44,1.55,1.49
3503,4800,1251822527,1.44,1.55,1.49
3503,4799,1251822532,1.44,1.55,1.49
3503,4798,1251822537,1.44,1.55,1.49
3503,4797,1251822543,1.44,1.55,1.49
3503,4796,1251822548,1.44,1.54,1.49
3503,4795,1251822554,1.44,1.54,1.48
3503,4794,1251822559,1.44,1.54,1.48
3503,4793,1251822565,1.44,1.54,1.48
3503,4792,1251822570,1.44,1.54,1.48
3503,4791,1251822576,1.43,1.54,1.48
3503,4790,1251822581,1.43,1.54,1.48
3503,4789,1251822587,1.43,1.53,1.48
3503,4788,1251822592,1.43,1.53,1.48
3503,4787,1251822598,1.43,1.53,1.48
3503,4786,1251822603,1.43,1.53,1.48
3503,4785,1251822609,1.43,1.53,1.48
3503,4784,1251822614,1.43,1.53,1.48
3503,4783,1251822620,1.43,1.52,1.48
3503,4782,1251822625,1.43,1.52,1.48
3503,4781,1251822631,1.43,1.52,1.48
3503,4780,1251822636,1.43,1.52,1.48
3503,4779,1251822642,1.43,1.52,1.48
3503,4778,1251822647,1.43,1.52,1.48
3503,4777,1251822653,1.43,1.53,1.48
3503,4776,1251822658,1.43,1.53,1.48
3503,4775,1251822664,1.43,1.53,1.48
3503,4774,1251822669,1.43,1.53,1.48
3503,4773,1251822675,1.43,1.53,1.48
3503,4772,1251822680,1.43,1.53,1.48
3503,4771,1251822686,1.43,1.53,1.48
3503,4770,1251822691,1.43,1.53,1.48
3503,4769,1251822697,1.43,1.53,1.48
3503,4768,1251822702,1.43,1.53,1.48
3503,4767,1251822708,1.43,1.53,1.48
3503,4766,1251822713,1.43,1.53,1.48
3503,4765,1251822719,1.43,1.53,1.48
3503,4764,1251822724,1.43,1.53,1.48
3503,4763,1251822730,1.43,1.53,1.48
3503,4762,1251822735,1.43,1.53,1.48
3503,4761,1251822741,1.43,1.53,1.48
3503,4760,1251822746,1.44,1.53,1.48
3503,4759,1251822752,1.44,1.53,1.48
3503,4758,1251822757,1.44,1.54,1.48
3503,4757,1251822763,1.44,1.54,1.48
3503,4756,1251822768,1.44,1.54,1.48
3503,4755,1251822774,1.44,1.54,1.49
3503,4754,1251822779,1.44,1.54,1.49
3503,4753,1251822785,1.44,1.54,1.49
3503,4752,1251822790,1.44,1.54,1.49
3503,4751,1251822796,1.44,1.54,1.49
3503,4750,1251822801,1.44,1.54,1.49
3503,4749,1251822807,1.44,1.54,1.49
3503,4748,1251822812,1.44,1.54,1.49
3503,4747,1251822817,1.44,1.55,1.49
3503,4746,1251822823,1.44,1.55,1.49
3503,4745,1251822828,1.44,1.55,1.49
3503,4744,1251822834,1.44,1.55,1.49
3503,4743,1251822839,1.44,1.55,1.49
3503,4742,1251822845,1.44,1.55,1.49
3503,4741,1251822850,1.44,1.56,1.50
3503,4740,1251822856,1.44,1.56,1.50
3503,4739,1251822861,1.44,1.56,1.50
3503,4738,1251822867,1.44,1.56,1.50
3503,4737,1251822872,1.44,1.57,1.50
3503,4736,1251822878,1.44,1.57,1.50
3503,4735,1251822883,1.44,1.57,1.50
3503,4734,1251822889,1.44,1.57,1.50
3503,4733,1251822894,1.45,1.57,1.50
3503,4732,1251822900,1.45,1.57,1.50
3503,4731,1251822905,1.45,1.57,1.51
3503,4730,1251822911,1.45,1.58,1.51
3503,4729,1251822916,1.45,1.58,1.51
3503,4728,1251822922,1.45,1.58,1.51
3503,4727,1251822927,1.45,1.58,1.51
3503,4726,1251822933,1.45,1.59,1.51
3503,4725,1251822938,1.45,1.59,1.51
3503,4724,1251822944,1.45,1.59,1.52
3503,4723,1251822949,1.45,1.59,1.52
3503,4722,1251822955,1.45,1.59,1.52
3503,4721,1251822960,1.46,1.59,1.52
3503,4720,1251822966,1.46,1.59,1.52
3503,4719,1251822971,1.46,1.59,1.52
3503,4718,1251822977,1.46,1.60,1.52
3503,4717,1251822982,1.46,1.60,1.53
3503,4716,1251822988,1.46,1.60,1.53
3503,4715,1251822993,1.46,1.60,1.53
3503,4714,1251822999,1.47,1.60,1.53
3503,4713,1251823005,1.47,1.60,1.53
3503,4712,1251823010,1.47,1.61,1.53
3503,4711,1251823016,1.47,1.61,1.53
3503,4710,1251823021,1.47,1.61,1.53
3503,4709,1251823027,1.47,1.61,1.54
3503,4708,1251823032,1.47,1.61,1.54
3503,4707,1251823038,1.47,1.61,1.54
3503,4706,1251823043,1.47,1.62,1.54
3503,4705,1251823049,1.47,1.62,1.54
