Line,Shot,Time,Min feather,Max feather,Avg feather
4351,1709,1251922972,-1.12,-0.87,-0.99
4351,1710,1251922978,-1.11,-0.86,-0.98
4351,1711,1251922983,-1.11,-0.86,-0.98
4351,1712,1251922989,-1.10,-0.85,-0.97
4351,1713,1251922995,-1.09,-0.85,-0.96
4351,1714,1251923000,-1.08,-0.84,-0.96
4351,1715,1251923006,-1.07,-0.84,-0.95
4351,1716,1251923011,-1.06,-0.83,-0.94
4351,1717,1251923017,-1.05,-0.82,-0.94
4351,1718,1251923023,-1.04,-0.82,-0.93
4351,1719,1251923028,-1.03,-0.81,-0.92
4351,1720,1251923034,-1.03,-0.81,-0.92
4351,1721,1251923039,-1.02,-0.80,-0.91
4351,1722,1251923045,-1.01,-0.80,-0.91
4351,1723,1251923050,-1.00,-0.79,-0.90
4351,1724,1251923056,-1.00,-0.79,-0.89
4351,1725,1251923062,-0.99,-0.78,-0.89
4351,1726,1251923067,-0.98,-0.77,-0.88
4351,1727,1251923073,-0.98,-0.77,-0.88
4351,1728,1251923078,-0.97,-0.76,-0.87
4351,1729,1251923084,-0.96,-0.76,-0.87
4351,1730,1251923090,-0.96,-0.75,-0.86
4351,1731,1251923095,-0.95,-0.75,-0.86
4351,1732,1251923101,-0.94,-0.74,-0.85
4351,1733,1251923106,-0.94,-0.73,-0.85
4351,1734,1251923112,-0.93,-0.73,-0.84
4351,1735,1251923118,-0.92,-0.72,-0.83
4351,1736,1251923123,-0.92,-0.71,-0.83
4351,1737,1251923129,-0.91,-0.71,-0.82
4351,1738,1251923134,-0.91,-0.70,-0.82
4351,1739,1251923140,-0.90,-0.70,-0.81
4351,1740,1251923146,-0.90,-0.69,-0.81
4351,1741,1251923151,-0.89,-0.69,-0.80
4351,1742,1251923157,-0.89,-0.68,-0.80
4351,1743,1251923162,-0.88,-0.67,-0.79
4351,1744,1251923168,-0.87,-0.67,-0.79
4351,1745,1251923174,-0.87,-0.66,-0.78
4351,1746,1251923179,-0.86,-0.66,-0.78
4351,1747,1251923185,-0.86,-0.65,-0.78
4351,1748,1251923190,-0.85,-0.65,-0.77
4351,1749,1251923196,-0.85,-0.64,-0.77
4351,1750,1251923202,-0.84,-0.64,-0.76
4351,1751,1251923207,-0.84,-0.63,-0.76
4351,1752,1251923213,-0.84,-0.63,-0.75
4351,1753,1251923218,-0.83,-0.62,-0.75
4351,1754,1251923224,-0.83,-0.62,-0.74
4351,1755,1251923230,-0.82,-0.61,-0.74
4351,1756,1251923235,-0.82,-0.61,-0.73
4351,1757,1251923241,-0.82,-0.61,-0.73
4351,1758,1251923247,-0.81,-0.60,-0.73
4351,1759,1251923252,-0.81,-0.60,-0.72
4351,1760,1251923258,-0.80,-0.59,-0.72
4351,1761,1251923263,-0.80,-0.59,-0.71
4351,1762,1251923269,-0.79,-0.59,-0.71
4351,1763,1251923275,-0.79,-0.58,-0.71
4351,1764,1251923280,-0.79,-0.58,-0.70
4351,1765,1251923286,-0.78,-0.57,-0.70
4351,1766,1251923292,-0.78,-0.57,-0.69
4351,1767,1251923297,-0.77,-0.57,-0.69
4351,1768,1251923303,-0.77,-0.56,-0.69
4351,1769,1251923309,-0.77,-0.56,-0.68
4351,1770,1251923314,-0.76,-0.56,-0.68
4351,1771,1251923320,-0.76,-0.55,-0.67
4351,1772,1251923325,-0.76,-0.55,-0.67
4351,1773,1251923331,-0.75,-0.55,-0.67
4351,1774,1251923337,-0.75,-0.54,-0.66
4351,1775,1251923342,-0.74,-0.54,-0.66
4351,1776,1251923348,-0.74,-0.54,-0.65
4351,1777,1251923354,-0.74,-0.54,-0.65
4351,1778,1251923359,-0.73,-0.53,-0.65
4351,1779,1251923365,-0.73,-0.53,-0.64
4351,1780,1251923370,-0.72,-0.53,-0.64
4351,1781,1251923376,-0.72,-0.52,-0.63
4351,1782,1251923382,-0.72,-0.52,-0.63
4351,1783,1251923388,-0.71,-0.52,-0.62
4351,1784,1251923393,-0.71,-0.51,-0.62
4351,1785,1251923399,-0.71,-0.51,-0.62
4351,1786,1251923405,-0.70,-0.51,-0.61
4351,1787,1251923410,-0.70,-0.50,-0.61
4351,1788,1251923416,-0.70,-0.50,-0.60
4351,1789,1251923421,-0.69,-0.49,-0.60
4351,1790,1251923427,-0.69,-0.49,-0.59
4351,1791,1251923433,-0.68,-0.48,-0.59
4351,1792,1251923438,-0.68,-0.47,-0.58
4351,1793,1251923444,-0.68,-0.47,-0.57
4351,1794,1251923450,-0.67,-0.46,-0.57
4351,1795,1251923455,-0.67,-0.45,-0.56
4351,1796,1251923461,-0.66,-0.45,-0.56
4351,1797,1251923467,-0.66,-0.44,-0.55
4351,1798,1251923472,-0.65,-0.44,-0.55
4351,1799,1251923478,-0.65,-0.43,-0.54
4351,1800,1251923484,-0.65,-0.42,-0.53
