Line,Shot,Time,Min feather,Max feather,Avg feather
4669,1780,1251654566,-0.47,-0.19,-0.32
4669,1781,1251654572,-0.46,-0.18,-0.31
4669,1782,1251654577,-0.46,-0.18,-0.31
4669,1783,1251654583,-0.46,-0.18,-0.30
4669,1784,1251654588,-0.45,-0.17,-0.30
4669,1785,1251654594,-0.44,-0.17,-0.29
4669,1786,1251654599,-0.44,-0.17,-0.29
4669,1787,1251654605,-0.43,-0.16,-0.28
4669,1788,1251654610,-0.43,-0.16,-0.28
4669,1789,1251654616,-0.42,-0.15,-0.27
4669,1790,1251654621,-0.41,-0.15,-0.27
4669,1791,1251654627,-0.41,-0.14,-0.26
4669,1792,1251654632,-0.40,-0.14,-0.26
4669,1793,1251654638,-0.40,-0.13,-0.25
4669,1794,1251654643,-0.39,-0.13,-0.25
4669,1795,1251654649,-0.38,-0.12,-0.24
4669,1796,1251654654,-0.38,-0.12,-0.23
4669,1797,1251654660,-0.37,-0.11,-0.23
4669,1798,1251654665,-0.37,-0.11,-0.23
4669,1799,1251654671,-0.36,-0.10,-0.22
4669,1800,1251654676,-0.36,-0.10,-0.22
4669,1801,1251654682,-0.35,-0.10,-0.21
4669,1802,1251654687,-0.35,-0.09,-0.21
4669,1803,1251654693,-0.34,-0.09,-0.20
4669,1804,1251654699,-0.33,-0.08,-0.20
4669,1805,1251654704,-0.33,-0.08,-0.19
4669,1806,1251654710,-0.32,-0.07,-0.18
4669,1807,1251654715,-0.32,-0.07,-0.18
4669,1808,1251654721,-0.31,-0.06,-0.17
4669,1809,1251654726,-0.30,-0.06,-0.17
4669,1810,1251654732,-0.30,-0.05,-0.16
4669,1811,1251654737,-0.29,-0.05,-0.16
4669,1812,1251654743,-0.28,-0.04,-0.15
4669,1813,1251654748,-0.28,-0.04,-0.15
4669,1814,1251654754,-0.27,-0.03,-0.14
4669,1815,1251654759,-0.27,-0.02,-0.13
4669,1816,1251654765,-0.26,-0.02,-0.13
4669,1817,1251654771,-0.25,-0.01,-0.12
4669,1818,1251654776,-0.25,-0.01,-0.12
4669,1819,1251654782,-0.24,-0.00,-0.11
4669,1820,1251654787,-0.24,0.00,-0.11
4669,1821,1251654793,-0.23,0.01,-0.10
4669,1822,1251654798,-0.23,0.01,-0.10
4669,1823,1251654804,-0.22,0.02,-0.09
4669,1824,1251654809,-0.22,0.02,-0.09
4669,1825,1251654815,-0.21,0.03,-0.08
4669,1826,1251654820,-0.21,0.03,-0.08
4669,1827,1251654826,-0.21,0.04,-0.07
4669,1828,1251654831,-0.20,0.04,-0.07
4669,1829,1251654836,-0.20,0.04,-0.07
4669,1830,1251654842,-0.19,0.05,-0.06
4669,1831,1251654847,-0.19,0.05,-0.06
4669,1832,1251654853,-0.18,0.06,-0.05
4669,1833,1251654858,-0.18,0.06,-0.05
4669,1834,1251654864,-0.17,0.07,-0.04
4669,1835,1251654870,-0.17,0.08,-0.04
4669,1836,1251654875,-0.16,0.08,-0.03
4669,1837,1251654881,-0.16,0.09,-0.03
4669,1838,1251654886,-0.16,0.09,-0.02
4669,1839,1251654892,-0.15,0.10,-0.02
4669,1840,1251654897,-0.15,0.10,-0.01
4669,1841,1251654903,-0.15,0.11,-0.01
4669,1842,1251654908,-0.14,0.11,-0.00
4669,1843,1251654914,-0.14,0.12,0.00
4669,1844,1251654919,-0.13,0.12,0.01
4669,1845,1251654925,-0.13,0.13,0.01
4669,1846,1251654930,-0.13,0.13,0.01
4669,1847,1251654936,-0.12,0.14,0.02
4669,1848,1251654941,-0.12,0.14,0.02
