# UltraTide data for line 3291P1010/b010
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  4617   1251425467.6960    0     0.03 
  4616   1251425473.1720    0     0.03 
  4615   1251425478.6640    0     0.03 
  4614   1251425484.1640    0     0.03 
  4613   1251425489.6320    0     0.03 
  4612   1251425495.1600    0     0.03 
  4611   1251425500.7280    0     0.03 
  4610   1251425506.2360    0     0.03 
  4609   1251425511.6400    0     0.03 
  4608   1251425517.1360    0     0.03 
  4607   1251425522.6480    0     0.03 
  4606   1251425528.1440    0     0.03 
  4605   1251425533.6560    0     0.03 
  4604   1251425539.1640    0     0.03 
  4603   1251425544.6440    0     0.03 
  4602   1251425550.1320    0     0.03 
  4601   1251425555.6840    0     0.03 
  4600   1251425561.2280    0     0.03 
  4599   1251425566.7600    0     0.03 
  4598   1251425572.2840    0     0.03 
  4597   1251425577.7840    0     0.03 
  4596   1251425583.3040    0     0.03 
  4595   1251425588.8520    0     0.03 
  4594   1251425594.3960    0     0.03 
  4593   1251425599.9360    0     0.03 
  4592   1251425605.4560    0     0.03 
  4591   1251425610.9440    0     0.03 
  4590   1251425616.4000    0     0.03 
  4589   1251425621.9320    0     0.03 
  4588   1251425627.5000    0     0.03 
  4587   1251425633.0160    0     0.03 
  4586   1251425638.5400    0     0.03 
  4585   1251425644.0640    0     0.03 
  4584   1251425649.5800    0     0.03 
  4583   1251425655.1040    0     0.03 
  4582   1251425660.6040    0     0.03 
  4581   1251425666.1480    0     0.03 
  4580   1251425671.6880    0     0.03 
  4579   1251425677.2000    0     0.03 
  4578   1251425682.6880    0     0.03 
  4577   1251425688.2240    0     0.03 
  4576   1251425693.7240    0     0.03 
  4575   1251425699.2400    0     0.03 
  4574   1251425704.7720    0     0.03 
  4573   1251425710.3240    0     0.03 
  4572   1251425715.7960    0     0.03 
  4571   1251425721.3560    0     0.03 
  4570   1251425726.9160    0     0.03 
  4569   1251425732.3880    0     0.03 
  4568   1251425737.9320    0     0.03 
  4567   1251425743.4280    0     0.03 
  4566   1251425748.9400    0     0.03 
  4565   1251425754.4760    0     0.03 
  4564   1251425760.0240    0     0.03 
  4563   1251425765.5280    0     0.03 
  4562   1251425771.0440    0     0.03 
  4561   1251425776.5720    0     0.03 
  4560   1251425782.0920    0     0.03 
  4559   1251425787.5400    0     0.03 
  4558   1251425793.0280    0     0.03 
  4557   1251425798.5960    0     0.03 
  4556   1251425804.0920    0     0.03 
  4555   1251425809.5840    0     0.03 
  4554   1251425815.1280    0     0.03 
  4553   1251425820.6440    0     0.03 
  4552   1251425826.1480    0     0.03 
  4551   1251425831.6840    0     0.03 
  4550   1251425837.1400    0     0.03 
  4549   1251425842.6360    0     0.03 
  4548   1251425848.1680    0     0.03 
  4547   1251425853.6560    0     0.03 
  4546   1251425859.1840    0     0.03 
  4545   1251425864.7280    0     0.03 
  4544   1251425870.2680    0     0.03 
  4543   1251425875.7000    0     0.03 
  4542   1251425881.2640    0     0.03 
  4541   1251425886.8400    0     0.03 
  4540   1251425892.3240    0     0.03 
  4539   1251425897.8280    0     0.03 
  4538   1251425903.3480    0     0.03 
  4537   1251425908.9000    0     0.03 
  4536   1251425914.4000    0     0.03 
  4535   1251425919.9120    0     0.03 
  4534   1251425925.4280    0     0.03 
  4533   1251425930.9280    0     0.03 
  4532   1251425936.4120    0     0.03 
  4531   1251425941.8880    0     0.03 
  4530   1251425947.3800    0     0.03 
  4529   1251425952.8920    0     0.03 
  4528   1251425958.3640    0     0.03 
  4527   1251425963.9240    0     0.03 
  4526   1251425969.4160    0     0.03 
  4525   1251425974.8360    0     0.03 
  4524   1251425980.3440    0     0.03 
  4523   1251425985.8560    0     0.03 
  4522   1251425991.3840    0     0.03 
  4521   1251425996.8960    0     0.03 
  4520   1251426002.3840    0     0.06 
  4519   1251426007.8880    0     0.06 
  4518   1251426013.4080    0     0.06 
  4517   1251426018.9320    0     0.06 
  4516   1251426024.4360    0     0.06 
  4515   1251426029.9840    0     0.06 
  4514   1251426035.4640    0     0.06 
  4513   1251426040.9640    0     0.06 
  4512   1251426046.4240    0     0.06 
  4511   1251426051.9160    0     0.06 
  4510   1251426057.4360    0     0.06 
  4509   1251426062.9720    0     0.06 
  4508   1251426068.4800    0     0.06 
  4507   1251426073.9360    0     0.06 
  4506   1251426079.4320    0     0.06 
  4505   1251426084.9160    0     0.06 
  4504   1251426090.4000    0     0.06 
  4503   1251426095.8040    0     0.06 
  4502   1251426101.1760    0     0.06 
  4501   1251426106.7960    0     0.06 
  4500   1251426112.5920    0     0.06 
  4499   1251426118.0800    0     0.06 
  4498   1251426123.4760    0     0.06 
  4497   1251426128.8680    0     0.06 
  4496   1251426134.3200    0     0.06 
  4495   1251426139.8440    0     0.06 
  4494   1251426145.4120    0     0.06 
  4493   1251426150.9280    0     0.06 
  4492   1251426156.4080    0     0.06 
  4491   1251426161.9520    0     0.06 
  4490   1251426167.4680    0     0.06 
  4489   1251426172.9160    0     0.06 
  4488   1251426178.4520    0     0.06 
  4487   1251426184.0160    0     0.06 
  4486   1251426189.5440    0     0.06 
  4485   1251426194.8760    0     0.06 
  4484   1251426200.3960    0     0.06 
  4483   1251426206.0440    0     0.06 
  4482   1251426211.5560    0     0.06 
  4481   1251426217.0640    0     0.06 
  4480   1251426222.5720    0     0.06 
  4479   1251426228.0480    0     0.06 
  4478   1251426233.5280    0     0.06 
  4477   1251426239.0840    0     0.06 
  4476   1251426244.6440    0     0.06 
  4475   1251426250.2120    0     0.06 
  4474   1251426255.7280    0     0.06 
  4473   1251426261.2720    0     0.06 
  4472   1251426266.7560    0     0.06 
  4471   1251426272.3000    0     0.06 
  4470   1251426277.8280    0     0.06 
  4469   1251426283.3480    0     0.06 
  4468   1251426288.8640    0     0.06 
  4467   1251426294.3800    0     0.06 
  4466   1251426299.9160    0     0.06 
  4465   1251426305.4320    0     0.06 
  4464   1251426310.9880    0     0.06 
  4463   1251426316.4640    0     0.06 
  4462   1251426321.9840    0     0.06 
  4461   1251426327.5200    0     0.06 
  4460   1251426332.9800    0     0.06 
  4459   1251426338.4480    0     0.06 
  4458   1251426344.0080    0     0.06 
  4457   1251426349.5640    0     0.06 
  4456   1251426355.0560    0     0.06 
  4455   1251426360.5600    0     0.06 
  4454   1251426366.0080    0     0.06 
  4453   1251426371.5360    0     0.06 
  4452   1251426377.0560    0     0.06 
  4451   1251426382.5560    0     0.06 
  4450   1251426388.0680    0     0.06 
  4449   1251426393.5760    0     0.06 
  4448   1251426399.1040    0     0.06 
  4447   1251426404.6400    0     0.06 
  4446   1251426410.1560    0     0.06 
  4445   1251426415.6680    0     0.06 
  4444   1251426421.1880    0     0.06 
  4443   1251426426.6760    0     0.06 
  4442   1251426432.2000    0     0.06 
  4441   1251426437.6800    0     0.06 
  4440   1251426443.1760    0     0.06 
  4439   1251426448.6920    0     0.06 
  4438   1251426454.1760    0     0.06 
  4437   1251426459.6720    0     0.06 
  4436   1251426465.2080    0     0.06 
  4435   1251426470.7200    0     0.06 
  4434   1251426476.2040    0     0.06 
  4433   1251426481.7320    0     0.06 
  4432   1251426487.2120    0     0.06 
  4431   1251426492.7000    0     0.06 
  4430   1251426498.1920    0     0.06 
  4429   1251426503.6800    0     0.06 
  4428   1251426509.1720    0     0.06 
  4427   1251426514.7120    0     0.06 
  4426   1251426520.2040    0     0.06 
  4425   1251426525.7080    0     0.06 
  4424   1251426531.2160    0     0.06 
  4423   1251426536.7440    0     0.06 
  4422   1251426542.2800    0     0.06 
  4421   1251426547.8080    0     0.06 
  4420   1251426553.3800    0     0.06 
  4419   1251426558.8920    0     0.06 
  4418   1251426564.4000    0     0.06 
  4417   1251426569.9240    0     0.06 
  4416   1251426575.4520    0     0.06 
  4415   1251426580.9760    0     0.06 
  4414   1251426586.5200    0     0.06 
  4413   1251426592.0240    0     0.06 
  4412   1251426597.5400    0     0.06 
  4411   1251426603.0680    0     0.04 
  4410   1251426608.5760    0     0.04 
  4409   1251426614.0440    0     0.04 
  4408   1251426619.4760    0     0.04 
  4407   1251426624.9720    0     0.04 
  4406   1251426630.4480    0     0.04 
  4405   1251426635.9640    0     0.04 
  4404   1251426641.4760    0     0.04 
  4403   1251426647.0040    0     0.04 
  4402   1251426652.4680    0     0.04 
  4401   1251426657.9720    0     0.04 
  4400   1251426663.5080    0     0.04 
  4399   1251426668.9560    0     0.04 
  4398   1251426674.4600    0     0.04 
  4397   1251426679.9840    0     0.04 
  4396   1251426685.4600    0     0.04 
  4395   1251426690.8600    0     0.04 
  4394   1251426696.3560    0     0.04 
  4393   1251426701.7680    0     0.04 
  4392   1251426707.2440    0     0.04 
  4391   1251426712.7320    0     0.04 
  4390   1251426718.2160    0     0.04 
  4389   1251426723.6560    0     0.04 
  4388   1251426729.1240    0     0.04 
  4387   1251426734.5840    0     0.04 
  4386   1251426740.0200    0     0.04 
  4385   1251426745.4880    0     0.04 
  4384   1251426750.9080    0     0.04 
  4383   1251426756.3160    0     0.04 
  4382   1251426761.7040    0     0.04 
  4381   1251426767.0800    0     0.04 
  4380   1251426772.5320    0     0.04 
  4379   1251426777.9080    0     0.04 
  4378   1251426783.3160    0     0.04 
  4377   1251426788.7280    0     0.04 
  4376   1251426794.1400    0     0.04 
  4375   1251426799.4840    0     0.04 
  4374   1251426804.8560    0     0.04 
  4373   1251426810.2800    0     0.04 
  4372   1251426815.6160    0     0.04 
  4371   1251426821.0320    0     0.04 
  4370   1251426826.4240    0     0.04 
  4369   1251426831.7800    0     0.04 
  4368   1251426837.1640    0     0.04 
  4367   1251426842.5280    0     0.04 
  4366   1251426847.8920    0     0.04 
  4365   1251426853.2960    0     0.04 
  4364   1251426858.6520    0     0.04 
  4363   1251426864.0520    0     0.04 
  4362   1251426869.4280    0     0.04 
  4361   1251426874.7640    0     0.04 
  4360   1251426880.1760    0     0.04 
  4359   1251426885.5640    0     0.04 
  4358   1251426890.8840    0     0.04 
  4357   1251426896.2240    0     0.04 
  4356   1251426901.6360    0     0.04 
  4355   1251426907.0240    0     0.04 
  4354   1251426912.3680    0     0.04 
  4353   1251426917.7600    0     0.04 
  4352   1251426923.1680    0     0.04 
  4351   1251426928.5440    0     0.04 
  4350   1251426933.8840    0     0.04 
  4349   1251426939.2400    0     0.04 
  4348   1251426944.6480    0     0.04 
  4347   1251426950.0400    0     0.04 
  4346   1251426955.4080    0     0.04 
  4345   1251426960.8120    0     0.04 
  4344   1251426966.2040    0     0.04 
  4343   1251426971.5680    0     0.04 
  4342   1251426976.9240    0     0.04 
  4341   1251426982.3000    0     0.04 
  4340   1251426987.6920    0     0.04 
  4339   1251426993.0720    0     0.04 
  4338   1251426998.4240    0     0.04 
  4337   1251427003.8120    0     0.04 
  4336   1251427009.2200    0     0.04 
  4335   1251427014.5760    0     0.04 
  4334   1251427019.9920    0     0.04 
  4333   1251427025.3840    0     0.04 
  4332   1251427030.7320    0     0.04 
  4331   1251427036.1040    0     0.04 
  4330   1251427041.4520    0     0.04 
  4329   1251427046.8200    0     0.04 
  4328   1251427052.1840    0     0.04 
  4327   1251427057.5120    0     0.04 
  4326   1251427062.8600    0     0.04 
  4325   1251427068.1960    0     0.04 
  4324   1251427073.5920    0     0.04 
  4323   1251427078.9760    0     0.04 
  4322   1251427084.3040    0     0.04 
  4321   1251427089.6640    0     0.04 
  4320   1251427095.0160    0     0.04 
  4319   1251427100.3920    0     0.04 
  4318   1251427105.7800    0     0.04 
  4317   1251427111.1680    0     0.04 
  4316   1251427116.5360    0     0.04 
  4315   1251427122.0200    0     0.04 
  4314   1251427127.3840    0     0.04 
  4313   1251427132.7680    0     0.04 
  4312   1251427138.1880    0     0.04 
  4311   1251427143.5800    0     0.04 
  4310   1251427148.9320    0     0.04 
  4309   1251427154.3360    0     0.04 
  4308   1251427159.6480    0     0.04 
  4307   1251427165.0520    0     0.04 
  4306   1251427170.4760    0     0.04 
  4305   1251427175.8520    0     0.04 
  4304   1251427181.2120    0     0.04 
  4303   1251427186.5880    0     0.04 
  4302   1251427191.9840    0     0.04 
  4301   1251427197.3440    0     0.04 
  4300   1251427202.7440    0     0.04 
  4299   1251427208.1600    0     0.04 
  4298   1251427213.5720    0     0.04 
  4297   1251427218.9520    0     0.04 
  4296   1251427224.2800    0     0.04 
  4295   1251427229.6560    0     0.04 
  4294   1251427235.0040    0     0.04 
  4293   1251427240.3840    0     0.04 
  4292   1251427245.8120    0     0.04 
  4291   1251427251.2720    0     0.04 
  4290   1251427256.6840    0     0.04 
  4289   1251427262.0760    0     0.04 
  4288   1251427267.4880    0     0.04 
  4287   1251427272.8840    0     0.04 
  4286   1251427278.3040    0     0.04 
  4285   1251427283.7120    0     0.04 
  4284   1251427289.1080    0     0.04 
  4283   1251427294.4920    0     0.04 
  4282   1251427299.8600    0     0.04 
  4281   1251427305.2760    0     0.04 
  4280   1251427310.6560    0     0.04 
  4279   1251427316.0560    0     0.04 
  4278   1251427321.4360    0     0.04 
  4277   1251427326.8480    0     0.04 
  4276   1251427332.2280    0     0.04 
  4275   1251427337.5880    0     0.04 
  4274   1251427343.0000    0     0.04 
  4273   1251427348.3880    0     0.04 
  4272   1251427353.7240    0     0.04 
  4271   1251427359.0800    0     0.04 
  4270   1251427364.4600    0     0.04 
  4269   1251427369.8160    0     0.04 
  4268   1251427375.2280    0     0.04 
  4267   1251427380.5920    0     0.04 
  4266   1251427385.9600    0     0.04 
  4265   1251427391.3160    0     0.04 
  4264   1251427396.6920    0     0.04 
  4263   1251427402.0560    0     0.04 
  4262   1251427407.4440    0     0.04 
  4261   1251427412.8160    0     0.04 
  4260   1251427418.1600    0     0.04 
  4259   1251427423.4960    0     0.04 
  4258   1251427428.8400    0     0.04 
  4257   1251427434.2120    0     0.04 
  4256   1251427439.5440    0     0.04 
  4255   1251427444.8880    0     0.04 
  4254   1251427450.2920    0     0.04 
  4253   1251427455.6520    0     0.04 
  4252   1251427460.9480    0     0.04 
  4251   1251427466.3040    0     0.04 
  4250   1251427471.7200    0     0.04 
  4249   1251427477.1000    0     0.04 
  4248   1251427482.4760    0     0.04 
  4247   1251427487.8680    0     0.04 
  4246   1251427493.2040    0     0.04 
  4245   1251427498.5880    0     0.04 
  4244   1251427503.9680    0     0.04 
  4243   1251427509.3360    0     0.04 
  4242   1251427514.7320    0     0.04 
  4241   1251427520.1120    0     0.04 
  4240   1251427525.4600    0     0.04 
  4239   1251427530.8360    0     0.04 
  4238   1251427536.2160    0     0.04 
  4237   1251427541.5800    0     0.04 
  4236   1251427546.9560    0     0.04 
  4235   1251427552.3600    0     0.04 
  4234   1251427557.7320    0     0.04 
  4233   1251427563.0760    0     0.04 
  4232   1251427568.4840    0     0.04 
  4231   1251427573.8400    0     0.04 
  4230   1251427579.2600    0     0.04 
  4229   1251427584.6960    0     0.04 
  4228   1251427590.0640    0     0.04 
  4227   1251427595.4520    0     0.04 
  4226   1251427600.8320    0     0.04 
  4225   1251427606.1640    0     0.04 
  4224   1251427611.5320    0     0.04 
  4223   1251427616.9120    0     0.04 
  4222   1251427622.2680    0     0.04 
  4221   1251427627.6280    0     0.04 
  4220   1251427632.9640    0     0.04 
  4219   1251427638.3400    0     0.04 
  4218   1251427643.6760    0     0.04 
  4217   1251427649.0440    0     0.04 
  4216   1251427654.3880    0     0.04 
  4215   1251427659.7480    0     0.04 
  4214   1251427665.1120    0     0.04 
  4213   1251427670.4480    0     0.04 
  4212   1251427675.8000    0     0.04 
  4211   1251427681.1480    0     0.04 
  4210   1251427686.5200    0     0.04 
  4209   1251427691.8840    0     0.04 
  4208   1251427697.1920    0     0.04 
  4207   1251427702.5880    0     0.04 
  4206   1251427707.9760    0     0.04 
  4205   1251427713.3880    0     0.04 
  4204   1251427718.7920    0     0.04 
  4203   1251427724.1600    0     0.04 
  4202   1251427729.5520    0     0.04 
  4201   1251427734.8840    0     0.04 
  4200   1251427740.3200    0     0.04 
  4199   1251427745.6800    0     0.04 
  4198   1251427750.9880    0     0.04 
