# UltraTide data for line 4669F1017/a017
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1780   1251654566.9000    0     0.09 
  1781   1251654572.1720    0     0.09 
  1782   1251654577.7880    0     0.09 
  1783   1251654583.2440    0     0.09 
  1784   1251654588.7200    0     0.09 
  1785   1251654594.3240    0     0.09 
  1786   1251654599.6920    0     0.09 
  1787   1251654605.2320    0     0.09 
  1788   1251654610.7600    0     0.09 
  1789   1251654616.3560    0     0.09 
  1790   1251654621.6600    0     0.09 
  1791   1251654627.3200    0     0.09 
  1792   1251654632.7560    0     0.09 
  1793   1251654638.2320    0     0.09 
  1794   1251654643.6680    0     0.09 
  1795   1251654649.2880    0     0.09 
  1796   1251654654.6640    0     0.09 
  1797   1251654660.3320    0     0.09 
  1798   1251654665.5720    0     0.09 
  1799   1251654671.3240    0     0.09 
  1800   1251654676.8760    0     0.09 
  1801   1251654682.2480    0     0.09 
  1802   1251654687.8280    0     0.09 
  1803   1251654693.6160    0     0.09 
  1804   1251654699.1040    0     0.09 
  1805   1251654704.6240    0     0.09 
  1806   1251654710.2240    0     0.09 
  1807   1251654715.7040    0     0.09 
  1808   1251654721.5320    0     0.09 
  1809   1251654726.9040    0     0.09 
  1810   1251654732.4040    0     0.09 
  1811   1251654737.9000    0     0.09 
  1812   1251654743.5520    0     0.09 
  1813   1251654748.9360    0     0.09 
  1814   1251654754.5080    0     0.09 
  1815   1251654759.9520    0     0.09 
  1816   1251654765.5840    0     0.09 
  1817   1251654771.2280    0     0.09 
  1818   1251654776.7040    0     0.09 
  1819   1251654782.2120    0     0.09 
  1820   1251654787.6680    0     0.09 
  1821   1251654793.3040    0     0.09 
  1822   1251654798.5520    0     0.09 
  1823   1251654804.2240    0     0.09 
  1824   1251654809.5160    0     0.09 
  1825   1251654815.1280    0     0.09 
  1826   1251654820.5600    0     0.09 
  1827   1251654826.0200    0     0.09 
  1828   1251654831.6560    0     0.09 
  1829   1251654836.8920    0     0.09 
  1830   1251654842.4840    0     0.09 
  1831   1251654847.9760    0     0.09 
  1832   1251654853.0920    0     0.09 
  1833   1251654858.7880    0     0.09 
  1834   1251654864.3400    0     0.09 
  1835   1251654870.0600    0     0.09 
  1836   1251654875.5720    0     0.09 
  1837   1251654881.0480    0     0.09 
  1838   1251654886.7560    0     0.09 
  1839   1251654892.2600    0     0.09 
  1840   1251654897.7200    0     0.09 
  1841   1251654903.2680    0     0.09 
  1842   1251654908.8720    0     0.09 
  1843   1251654914.4600    0     0.09 
  1844   1251654919.8920    0     0.09 
  1845   1251654925.3880    0     0.09 
  1846   1251654930.8480    0     0.09 
  1847   1251654936.3960    0     0.09 
  1848   1251654941.9360    0     0.09 
  1849   1251654947.1600    0     0.09 
  1850   1251654953.0120    0     0.09 
  1851   1251654958.3640    0     0.09 
  1852   1251654963.6880    0     0.09 
  1853   1251654969.4520    0     0.09 
  1854   1251654974.9240    0     0.09 
  1855   1251654980.4040    0     0.09 
  1856   1251654985.9560    0     0.09 
  1857   1251654991.3800    0     0.09 
  1858   1251654997.0000    0     0.09 
  1859   1251655002.3000    0     0.09 
  1860   1251655007.8520    0     0.09 
  1861   1251655013.4680    0     0.09 
  1862   1251655018.9480    0     0.09 
  1863   1251655024.4200    0     0.09 
  1864   1251655029.8000    0     0.09 
  1865   1251655035.5920    0     0.09 
  1866   1251655041.0080    0     0.09 
  1867   1251655046.6080    0     0.09 
  1868   1251655052.0880    0     0.09 
  1869   1251655057.5520    0     0.09 
  1870   1251655063.0560    0     0.09 
  1871   1251655068.5960    0     0.09 
  1872   1251655073.8840    0     0.09 
  1873   1251655079.4720    0     0.09 
  1874   1251655085.1520    0     0.09 
  1875   1251655090.5680    0     0.09 
  1876   1251655096.1400    0     0.09 
  1877   1251655101.7360    0     0.09 
  1878   1251655107.3920    0     0.09 
  1879   1251655113.1400    0     0.09 
  1880   1251655118.5520    0     0.09 
  1881   1251655124.1240    0     0.09 
  1882   1251655129.6880    0     0.09 
  1883   1251655135.4560    0     0.09 
  1884   1251655140.7120    0     0.09 
  1885   1251655146.3520    0     0.09 
  1886   1251655151.7920    0     0.09 
  1887   1251655157.3640    0     0.09 
  1888   1251655162.6960    0     0.09 
  1889   1251655168.5400    0     0.09 
  1890   1251655173.9200    0     0.09 
  1891   1251655179.4320    0     0.09 
  1892   1251655184.9800    0     0.09 
  1893   1251655190.5560    0     0.09 
  1894   1251655196.0200    0     0.09 
  1895   1251655201.4880    0     0.10 
  1896   1251655206.9800    0     0.10 
  1897   1251655212.4880    0     0.10 
  1898   1251655218.2200    0     0.10 
  1899   1251655223.3600    0     0.10 
  1900   1251655228.9960    0     0.10 
  1901   1251655234.4080    0     0.10 
  1902   1251655240.3760    0     0.10 
  1903   1251655245.8480    0     0.10 
  1904   1251655251.3600    0     0.10 
  1905   1251655257.1880    0     0.10 
  1906   1251655262.7440    0     0.10 
  1907   1251655268.3680    0     0.10 
  1908   1251655273.8160    0     0.10 
  1909   1251655279.2760    0     0.10 
  1910   1251655284.8640    0     0.10 
  1911   1251655290.4600    0     0.10 
  1912   1251655296.0120    0     0.10 
  1913   1251655301.5400    0     0.10 
  1914   1251655307.0800    0     0.10 
  1915   1251655312.5240    0     0.10 
  1916   1251655317.9720    0     0.10 
  1917   1251655323.6320    0     0.10 
  1918   1251655328.8720    0     0.10 
  1919   1251655334.6680    0     0.10 
  1920   1251655339.9120    0     0.10 
  1921   1251655345.4000    0     0.10 
  1922   1251655350.8840    0     0.10 
  1923   1251655356.3680    0     0.10 
  1924   1251655361.8280    0     0.10 
  1925   1251655367.4640    0     0.10 
  1926   1251655373.0040    0     0.10 
  1927   1251655378.3480    0     0.10 
  1928   1251655383.9960    0     0.10 
  1929   1251655389.2680    0     0.10 
  1930   1251655395.1280    0     0.10 
  1931   1251655400.5480    0     0.10 
  1932   1251655405.9680    0     0.10 
  1933   1251655411.5120    0     0.10 
  1934   1251655417.1960    0     0.10 
  1935   1251655422.8120    0     0.10 
  1936   1251655428.1440    0     0.10 
  1937   1251655433.6800    0     0.10 
  1938   1251655439.3520    0     0.10 
  1939   1251655444.6600    0     0.10 
  1940   1251655450.2040    0     0.10 
  1941   1251655455.8480    0     0.10 
  1942   1251655461.6040    0     0.10 
  1943   1251655467.1040    0     0.10 
  1944   1251655472.7480    0     0.10 
  1945   1251655478.2520    0     0.10 
  1946   1251655484.0520    0     0.10 
  1947   1251655489.5200    0     0.10 
  1948   1251655494.8640    0     0.10 
  1949   1251655500.5080    0     0.10 
  1950   1251655506.0680    0     0.10 
  1951   1251655511.3960    0     0.10 
  1952   1251655517.1920    0     0.10 
  1953   1251655522.8240    0     0.10 
  1954   1251655528.5440    0     0.10 
  1955   1251655533.8400    0     0.10 
  1956   1251655539.5000    0     0.10 
  1957   1251655545.3280    0     0.10 
  1958   1251655551.1120    0     0.10 
  1959   1251655556.4800    0     0.10 
  1960   1251655562.0280    0     0.10 
  1961   1251655567.7320    0     0.10 
