# UltraTide data for line 4987P2021/a021
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1851   1251788230.1960    0     -0.09 
  1852   1251788235.8880    0     -0.09 
  1853   1251788241.4680    0     -0.09 
  1854   1251788247.1600    0     -0.09 
  1855   1251788252.7560    0     -0.09 
  1856   1251788258.4160    0     -0.09 
  1857   1251788264.1120    0     -0.09 
  1858   1251788269.7720    0     -0.09 
  1859   1251788275.4160    0     -0.09 
  1860   1251788280.9920    0     -0.09 
  1861   1251788286.6360    0     -0.09 
  1862   1251788292.2920    0     -0.09 
  1863   1251788297.8840    0     -0.09 
  1864   1251788303.5360    0     -0.09 
  1865   1251788309.1680    0     -0.09 
  1866   1251788314.8000    0     -0.09 
  1867   1251788320.4960    0     -0.09 
  1868   1251788326.1640    0     -0.09 
  1869   1251788331.7400    0     -0.09 
  1870   1251788337.3640    0     -0.09 
  1871   1251788342.9480    0     -0.09 
  1872   1251788348.5360    0     -0.09 
  1873   1251788354.1080    0     -0.09 
  1874   1251788359.7000    0     -0.09 
  1875   1251788365.3760    0     -0.09 
  1876   1251788370.9400    0     -0.09 
  1877   1251788376.6840    0     -0.09 
  1878   1251788382.2400    0     -0.09 
  1879   1251788387.9040    0     -0.09 
  1880   1251788393.4760    0     -0.09 
  1881   1251788399.1560    0     -0.08 
  1882   1251788404.8080    0     -0.04 
  1883   1251788410.4920    0     -0.04 
  1884   1251788416.0200    0     -0.04 
  1885   1251788421.5640    0     -0.04 
  1886   1251788427.2280    0     -0.04 
  1887   1251788432.8480    0     -0.04 
  1888   1251788438.4680    0     -0.04 
  1889   1251788444.0520    0     -0.04 
  1890   1251788449.5400    0     -0.04 
  1891   1251788455.2720    0     -0.04 
  1892   1251788460.7880    0     -0.04 
  1893   1251788466.4080    0     -0.04 
  1894   1251788472.0240    0     -0.04 
  1895   1251788477.6440    0     -0.04 
  1896   1251788483.2120    0     -0.04 
  1897   1251788488.8560    0     -0.04 
  1898   1251788494.4640    0     -0.04 
  1899   1251788500.1360    0     -0.04 
  1900   1251788505.7240    0     -0.04 
  1901   1251788511.4240    0     -0.04 
  1902   1251788517.0760    0     -0.04 
  1903   1251788522.7520    0     -0.04 
  1904   1251788528.4600    0     -0.04 
  1905   1251788534.1320    0     -0.04 
  1906   1251788539.7400    0     -0.04 
  1907   1251788545.3720    0     -0.04 
  1908   1251788551.0840    0     -0.04 
  1909   1251788556.6400    0     -0.04 
  1910   1251788562.3240    0     -0.04 
  1911   1251788567.9520    0     -0.04 
  1912   1251788573.5720    0     -0.04 
  1913   1251788579.2800    0     -0.04 
  1914   1251788584.9040    0     -0.04 
  1915   1251788590.5760    0     -0.04 
  1916   1251788596.2520    0     -0.04 
  1917   1251788601.9360    0     -0.04 
  1918   1251788607.5360    0     -0.04 
  1919   1251788613.2640    0     -0.04 
  1920   1251788618.8000    0     -0.04 
  1921   1251788624.4440    0     -0.04 
  1922   1251788630.0560    0     -0.04 
  1923   1251788635.6800    0     -0.04 
  1924   1251788641.2880    0     -0.04 
  1925   1251788647.0160    0     -0.04 
  1926   1251788652.6960    0     -0.04 
  1927   1251788658.4200    0     -0.04 
  1928   1251788664.0880    0     -0.04 
  1929   1251788669.6640    0     -0.04 
  1930   1251788675.2440    0     -0.04 
  1931   1251788680.9320    0     -0.04 
  1932   1251788686.5120    0     -0.04 
  1933   1251788692.1360    0     -0.04 
  1934   1251788697.7600    0     -0.04 
  1935   1251788703.3840    0     -0.04 
  1936   1251788709.0240    0     -0.04 
  1937   1251788714.6360    0     -0.04 
  1938   1251788720.1920    0     -0.04 
  1939   1251788725.8200    0     -0.04 
  1940   1251788731.4360    0     -0.04 
  1941   1251788737.0640    0     -0.04 
  1942   1251788742.6920    0     -0.04 
  1943   1251788748.2640    0     -0.04 
  1944   1251788753.8840    0     -0.04 
  1945   1251788759.5520    0     -0.04 
  1946   1251788765.0840    0     -0.04 
  1947   1251788770.7000    0     -0.04 
  1948   1251788776.3800    0     -0.04 
  1949   1251788782.0360    0     -0.04 
  1950   1251788787.5960    0     -0.04 
  1951   1251788793.1760    0     -0.04 
  1952   1251788798.8880    0     -0.04 
  1953   1251788804.4960    0     -0.04 
  1954   1251788810.1960    0     -0.04 
  1955   1251788815.7560    0     -0.04 
  1956   1251788821.3880    0     -0.04 
  1957   1251788827.0080    0     -0.04 
  1958   1251788832.5960    0     -0.04 
  1959   1251788838.2280    0     -0.04 
  1960   1251788843.8640    0     -0.04 
  1961   1251788849.5080    0     -0.04 
  1962   1251788855.2360    0     -0.04 
  1963   1251788860.8240    0     -0.04 
  1964   1251788866.4200    0     -0.04 
  1965   1251788872.1200    0     -0.04 
  1966   1251788877.7200    0     -0.04 
  1967   1251788883.3720    0     -0.04 
  1968   1251788888.9280    0     -0.04 
  1969   1251788894.6320    0     -0.04 
  1970   1251788900.2280    0     -0.04 
  1971   1251788905.8120    0     -0.04 
  1972   1251788911.5400    0     -0.04 
  1973   1251788917.1760    0     -0.04 
  1974   1251788922.7880    0     -0.04 
  1975   1251788928.4760    0     -0.04 
  1976   1251788934.1200    0     -0.04 
  1977   1251788939.7800    0     -0.04 
  1978   1251788945.3480    0     -0.04 
  1979   1251788950.8880    0     -0.04 
  1980   1251788956.4360    0     -0.04 
  1981   1251788962.1040    0     -0.04 
