# UltraTide data for line 2973F1040/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  3320   1252417579.3880    0     -0.02 
  3319   1252417585.1680    0     -0.02 
  3318   1252417590.8280    0     -0.02 
  3317   1252417596.4800    0     -0.02 
  3316   1252417602.2280    0     -0.02 
  3315   1252417608.0200    0     -0.02 
  3314   1252417613.8440    0     -0.02 
  3313   1252417619.6520    0     -0.02 
  3312   1252417625.2280    0     -0.02 
  3311   1252417631.2400    0     -0.02 
  3310   1252417636.7120    0     -0.02 
  3309   1252417642.7920    0     -0.02 
  3308   1252417648.2640    0     -0.02 
  3307   1252417654.2800    0     -0.02 
  3306   1252417659.9440    0     -0.02 
  3305   1252417665.8400    0     -0.02 
  3304   1252417671.5440    0     -0.02 
  3303   1252417677.2880    0     -0.02 
  3302   1252417682.9960    0     -0.02 
  3301   1252417688.7440    0     -0.02 
  3300   1252417694.3120    0     -0.02 
  3299   1252417700.2360    0     -0.02 
  3298   1252417705.9480    0     -0.02 
  3297   1252417711.6160    0     -0.02 
  3296   1252417717.4320    0     -0.02 
  3295   1252417723.0800    0     -0.02 
  3294   1252417728.8880    0     -0.02 
  3293   1252417734.5600    0     -0.02 
  3292   1252417740.3200    0     -0.02 
  3291   1252417746.0840    0     -0.02 
  3290   1252417751.7840    0     -0.02 
  3289   1252417757.5760    0     -0.02 
  3288   1252417763.2680    0     -0.02 
  3287   1252417769.0080    0     -0.02 
  3286   1252417774.7880    0     -0.02 
  3285   1252417780.5520    0     -0.02 
  3284   1252417786.3200    0     -0.02 
  3283   1252417792.1200    0     -0.02 
  3282   1252417797.8160    0     -0.02 
  3281   1252417803.6920    0     -0.01 
  3280   1252417809.3760    0     -0.01 
  3279   1252417815.2800    0     -0.01 
  3278   1252417820.8760    0     -0.01 
  3277   1252417826.7800    0     -0.01 
  3276   1252417832.3760    0     -0.01 
  3275   1252417838.2360    0     -0.01 
  3274   1252417843.9760    0     -0.01 
  3273   1252417849.8360    0     -0.01 
  3272   1252417855.6160    0     -0.01 
  3271   1252417861.1920    0     -0.01 
  3270   1252417867.0120    0     -0.01 
  3269   1252417872.7520    0     -0.01 
  3268   1252417878.4600    0     -0.01 
  3267   1252417884.2960    0     -0.01 
  3266   1252417890.0200    0     -0.01 
  3265   1252417895.9280    0     -0.01 
  3264   1252417901.6160    0     -0.01 
  3263   1252417907.4640    0     -0.01 
  3262   1252417913.3480    0     -0.01 
  3261   1252417919.1440    0     -0.01 
  3260   1252417924.9200    0     -0.01 
  3259   1252417930.7040    0     -0.01 
  3258   1252417936.7040    0     -0.01 
  3257   1252417942.5000    0     -0.01 
  3256   1252417948.3040    0     -0.01 
  3255   1252417954.1200    0     -0.01 
  3254   1252417959.9080    0     -0.01 
  3253   1252417965.8560    0     -0.01 
  3252   1252417971.5680    0     -0.01 
  3251   1252417977.4200    0     -0.01 
  3250   1252417983.1960    0     -0.01 
  3249   1252417989.0880    0     -0.01 
  3248   1252417994.9760    0     -0.01 
  3247   1252418000.8520    0     -0.01 
  3246   1252418006.6960    0     -0.01 
  3245   1252418012.5200    0     -0.01 
  3244   1252418018.2360    0     -0.01 
  3243   1252418024.1520    0     -0.01 
  3242   1252418029.9120    0     -0.01 
  3241   1252418035.8000    0     -0.01 
  3240   1252418041.4280    0     -0.01 
  3239   1252418047.3920    0     -0.01 
  3238   1252418053.0240    0     -0.01 
  3237   1252418058.8160    0     -0.01 
  3236   1252418064.5320    0     -0.01 
  3235   1252418070.2200    0     -0.01 
  3234   1252418076.0680    0     -0.01 
  3233   1252418081.7360    0     -0.01 
  3232   1252418087.5160    0     -0.01 
  3231   1252418093.2840    0     -0.01 
  3230   1252418098.9600    0     -0.01 
  3229   1252418104.8200    0     -0.01 
  3228   1252418110.5120    0     -0.01 
  3227   1252418116.4160    0     -0.01 
  3226   1252418122.0360    0     -0.01 
  3225   1252418127.8200    0     -0.01 
  3224   1252418133.6160    0     -0.01 
  3223   1252418139.4080    0     -0.01 
  3222   1252418145.1480    0     -0.01 
  3221   1252418150.8720    0     -0.01 
  3220   1252418156.7640    0     -0.01 
  3219   1252418162.3680    0     -0.01 
  3218   1252418168.2800    0     -0.01 
  3217   1252418174.0080    0     -0.01 
  3216   1252418179.8200    0     -0.01 
  3215   1252418185.6040    0     -0.01 
  3214   1252418191.3840    0     -0.01 
  3213   1252418197.2240    0     -0.01 
  3212   1252418202.9080    0     -0.01 
  3211   1252418208.7760    0     -0.01 
  3210   1252418214.5560    0     -0.01 
  3209   1252418220.4040    0     -0.01 
  3208   1252418226.0400    0     -0.01 
  3207   1252418231.9640    0     -0.01 
  3206   1252418237.5320    0     -0.01 
  3205   1252418243.5520    0     -0.01 
  3204   1252418249.3360    0     -0.01 
  3203   1252418255.0680    0     -0.01 
  3202   1252418260.9800    0     -0.01 
  3201   1252418266.6720    0     -0.01 
  3200   1252418272.6080    0     -0.01 
  3199   1252418278.2280    0     -0.01 
  3198   1252418284.2240    0     -0.01 
  3197   1252418289.8960    0     -0.01 
  3196   1252418295.9440    0     -0.01 
  3195   1252418301.6480    0     -0.01 
  3194   1252418307.5040    0     -0.01 
  3193   1252418313.3400    0     -0.01 
  3192   1252418319.0600    0     -0.01 
  3191   1252418324.9520    0     -0.01 
  3190   1252418330.7480    0     -0.01 
  3189   1252418336.6440    0     -0.01 
  3188   1252418342.4800    0     -0.01 
  3187   1252418348.2480    0     -0.01 
  3186   1252418354.2760    0     -0.01 
  3185   1252418359.8880    0     -0.01 
  3184   1252418365.8200    0     -0.01 
  3183   1252418371.5080    0     -0.01 
  3182   1252418377.3120    0     -0.01 
  3181   1252418383.1680    0     -0.01 
  3180   1252418388.9080    0     -0.01 
  3179   1252418394.7480    0     -0.01 
  3178   1252418400.4280    0     0.01 
  3177   1252418406.1760    0     0.01 
  3176   1252418411.8600    0     0.01 
  3175   1252418417.7120    0     0.01 
  3174   1252418423.5400    0     0.01 
  3173   1252418429.2680    0     0.01 
  3172   1252418435.1360    0     0.01 
  3171   1252418440.8200    0     0.01 
  3170   1252418446.5960    0     0.01 
  3169   1252418452.2080    0     0.01 
  3168   1252418458.0240    0     0.01 
  3167   1252418463.8080    0     0.01 
  3166   1252418469.5800    0     0.01 
  3165   1252418475.2920    0     0.01 
  3164   1252418480.9520    0     0.01 
  3163   1252418486.6560    0     0.01 
  3162   1252418492.2920    0     0.01 
  3161   1252418498.0000    0     0.01 
  3160   1252418503.6560    0     0.01 
