# UltraTide data for line 2549R3044/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  3932   1252575217.0560    0     -0.03 
  3931   1252575222.5080    0     -0.03 
  3930   1252575228.0520    0     -0.03 
  3929   1252575234.2440    0     -0.03 
  3928   1252575239.8640    0     -0.03 
  3927   1252575245.7200    0     -0.03 
  3926   1252575251.4280    0     -0.03 
  3925   1252575257.1480    0     -0.03 
  3924   1252575262.9800    0     -0.03 
  3923   1252575268.7160    0     -0.03 
  3922   1252575274.3480    0     -0.03 
  3921   1252575279.7600    0     -0.03 
  3920   1252575285.6960    0     -0.03 
  3919   1252575291.2240    0     -0.03 
  3918   1252575296.5720    0     -0.03 
  3917   1252575302.6960    0     -0.03 
  3916   1252575308.2680    0     -0.03 
  3915   1252575313.8320    0     -0.03 
  3914   1252575319.7080    0     -0.03 
  3913   1252575325.3840    0     -0.03 
  3912   1252575330.7800    0     -0.03 
  3911   1252575336.7320    0     -0.03 
  3910   1252575342.1320    0     -0.03 
  3909   1252575347.7080    0     -0.03 
  3908   1252575353.4080    0     -0.03 
  3907   1252575358.8520    0     -0.03 
  3906   1252575364.4480    0     -0.03 
  3905   1252575370.2880    0     -0.03 
  3904   1252575375.6840    0     -0.03 
  3903   1252575381.2640    0     -0.03 
  3902   1252575386.8160    0     -0.03 
  3901   1252575392.4400    0     -0.03 
  3900   1252575397.9720    0     -0.03 
  3899   1252575403.8440    0     -0.03 
  3898   1252575409.0320    0     -0.03 
  3897   1252575414.7720    0     -0.03 
  3896   1252575420.3960    0     -0.03 
  3895   1252575425.9800    0     -0.03 
  3894   1252575431.6360    0     -0.03 
  3893   1252575437.0000    0     -0.03 
  3892   1252575442.7720    0     -0.03 
  3891   1252575448.3880    0     -0.03 
  3890   1252575453.8520    0     -0.03 
  3889   1252575459.6720    0     -0.03 
  3888   1252575465.2480    0     -0.03 
  3887   1252575471.3480    0     -0.03 
  3886   1252575477.0960    0     -0.03 
  3885   1252575482.5280    0     -0.03 
  3884   1252575488.6400    0     -0.03 
  3883   1252575494.3920    0     -0.03 
  3882   1252575500.2840    0     -0.03 
  3881   1252575506.2440    0     -0.03 
  3880   1252575511.6280    0     -0.03 
  3879   1252575517.6840    0     -0.03 
  3878   1252575523.6000    0     -0.03 
  3877   1252575529.0360    0     -0.03 
  3876   1252575535.0040    0     -0.03 
  3875   1252575540.7760    0     -0.03 
  3874   1252575546.2560    0     -0.03 
  3873   1252575552.3120    0     -0.03 
  3872   1252575558.1600    0     -0.03 
  3871   1252575563.9280    0     -0.03 
  3870   1252575569.6520    0     -0.03 
  3869   1252575575.4240    0     -0.03 
  3868   1252575581.3440    0     -0.03 
  3867   1252575586.8960    0     -0.03 
  3866   1252575592.9000    0     -0.03 
  3865   1252575598.5840    0     -0.03 
  3864   1252575604.1840    0     -0.06 
  3863   1252575609.9320    0     -0.06 
  3862   1252575616.1560    0     -0.06 
  3861   1252575621.8160    0     -0.06 
  3860   1252575627.4880    0     -0.06 
  3859   1252575633.5320    0     -0.06 
  3858   1252575639.3360    0     -0.06 
  3857   1252575644.9880    0     -0.06 
  3856   1252575651.0240    0     -0.06 
  3855   1252575656.9200    0     -0.06 
  3854   1252575662.5840    0     -0.06 
  3853   1252575668.3160    0     -0.06 
  3852   1252575674.1200    0     -0.06 
  3851   1252575679.8800    0     -0.06 
  3850   1252575685.5280    0     -0.06 
  3849   1252575691.6560    0     -0.06 
  3848   1252575697.2520    0     -0.06 
  3847   1252575702.9920    0     -0.06 
  3846   1252575709.1440    0     -0.06 
  3845   1252575714.6640    0     -0.06 
  3844   1252575720.1480    0     -0.06 
  3843   1252575726.3120    0     -0.06 
  3842   1252575732.3360    0     -0.06 
  3841   1252575737.6920    0     -0.06 
  3840   1252575743.6240    0     -0.06 
  3839   1252575749.1960    0     -0.06 
  3838   1252575755.4440    0     -0.06 
  3837   1252575760.7720    0     -0.06 
  3836   1252575767.0360    0     -0.06 
  3835   1252575772.8320    0     -0.06 
  3834   1252575778.3680    0     -0.06 
  3833   1252575784.2640    0     -0.06 
  3832   1252575789.4720    0     -0.06 
  3831   1252575795.1160    0     -0.06 
  3830   1252575801.0440    0     -0.06 
  3829   1252575806.6320    0     -0.06 
  3828   1252575812.1680    0     -0.06 
  3827   1252575818.0520    0     -0.06 
  3826   1252575823.6800    0     -0.06 
  3825   1252575829.2160    0     -0.06 
  3824   1252575834.7880    0     -0.06 
  3823   1252575840.6120    0     -0.06 
  3822   1252575846.2040    0     -0.06 
  3821   1252575851.7040    0     -0.06 
  3820   1252575857.4800    0     -0.06 
  3819   1252575863.1560    0     -0.06 
  3818   1252575868.5400    0     -0.06 
  3817   1252575874.5800    0     -0.06 
  3816   1252575880.2640    0     -0.06 
  3815   1252575885.5720    0     -0.06 
  3814   1252575891.4880    0     -0.06 
  3813   1252575897.2040    0     -0.06 
  3812   1252575902.5760    0     -0.06 
  3811   1252575908.5480    0     -0.06 
