# UltraTide data for line 1595P2045/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1088   1252611938.1520    0     -0.16 
  1089   1252611944.0680    0     -0.16 
  1090   1252611950.1760    0     -0.16 
  1091   1252611955.9320    0     -0.16 
  1092   1252611962.1160    0     -0.16 
  1093   1252611968.1600    0     -0.16 
  1094   1252611974.1680    0     -0.16 
  1095   1252611980.3720    0     -0.16 
  1096   1252611986.4840    0     -0.16 
  1097   1252611992.3680    0     -0.16 
  1098   1252611998.5680    0     -0.16 
  1099   1252612004.5360    0     -0.16 
  1100   1252612010.5160    0     -0.16 
  1101   1252612016.4720    0     -0.16 
  1102   1252612022.6880    0     -0.16 
  1103   1252612028.5000    0     -0.16 
  1104   1252612034.5720    0     -0.16 
  1105   1252612040.7240    0     -0.16 
  1106   1252612046.5280    0     -0.16 
  1107   1252612052.6920    0     -0.16 
  1108   1252612058.7400    0     -0.16 
  1109   1252612064.4880    0     -0.16 
  1110   1252612070.4960    0     -0.16 
  1111   1252612076.8040    0     -0.16 
  1112   1252612082.8600    0     -0.16 
  1113   1252612088.5400    0     -0.16 
  1114   1252612094.5240    0     -0.16 
  1115   1252612100.4240    0     -0.16 
  1116   1252612106.1880    0     -0.16 
  1117   1252612112.3040    0     -0.16 
  1118   1252612118.3680    0     -0.16 
  1119   1252612124.2440    0     -0.16 
  1120   1252612130.4800    0     -0.16 
  1121   1252612136.3560    0     -0.16 
  1122   1252612142.3920    0     -0.16 
  1123   1252612148.4480    0     -0.16 
  1124   1252612154.5640    0     -0.16 
  1125   1252612160.4600    0     -0.16 
  1126   1252612166.4120    0     -0.16 
  1127   1252612172.2760    0     -0.16 
  1128   1252612178.3920    0     -0.16 
  1129   1252612184.3600    0     -0.16 
  1130   1252612190.2080    0     -0.16 
  1131   1252612196.1920    0     -0.16 
  1132   1252612202.1560    0     -0.14 
  1133   1252612208.2160    0     -0.14 
  1134   1252612214.1040    0     -0.14 
  1135   1252612219.9080    0     -0.14 
  1136   1252612225.9680    0     -0.14 
  1137   1252612231.8640    0     -0.14 
  1138   1252612237.9360    0     -0.14 
  1139   1252612243.7800    0     -0.14 
  1140   1252612249.4320    0     -0.14 
  1141   1252612255.6000    0     -0.14 
  1142   1252612261.5120    0     -0.14 
  1143   1252612267.0560    0     -0.14 
  1144   1252612273.1320    0     -0.14 
  1145   1252612279.1840    0     -0.14 
  1146   1252612284.8040    0     -0.14 
  1147   1252612290.8560    0     -0.14 
  1148   1252612297.1040    0     -0.14 
  1149   1252612302.8880    0     -0.14 
  1150   1252612308.6560    0     -0.14 
  1151   1252612314.4840    0     -0.14 
  1152   1252612320.4040    0     -0.14 
  1153   1252612326.1360    0     -0.14 
  1154   1252612332.1920    0     -0.14 
  1155   1252612338.1960    0     -0.14 
  1156   1252612344.0120    0     -0.14 
  1157   1252612350.1520    0     -0.14 
  1158   1252612356.0560    0     -0.14 
  1159   1252612361.9840    0     -0.14 
  1160   1252612368.1480    0     -0.14 
  1161   1252612373.8680    0     -0.14 
  1162   1252612379.4920    0     -0.14 
  1163   1252612385.7440    0     -0.14 
  1164   1252612391.7000    0     -0.14 
  1165   1252612397.3880    0     -0.14 
  1166   1252612403.3080    0     -0.14 
  1167   1252612409.3360    0     -0.14 
  1168   1252612415.1480    0     -0.14 
  1169   1252612420.9360    0     -0.14 
  1170   1252612427.0840    0     -0.14 
  1171   1252612432.9960    0     -0.14 
  1172   1252612438.6920    0     -0.14 
  1173   1252612444.7200    0     -0.14 
  1174   1252612450.7080    0     -0.14 
  1175   1252612456.4000    0     -0.14 
  1176   1252612462.2240    0     -0.14 
  1177   1252612468.1360    0     -0.14 
  1178   1252612473.9720    0     -0.14 
  1179   1252612479.9320    0     -0.14 
  1180   1252612485.9240    0     -0.14 
  1181   1252612491.6320    0     -0.14 
  1182   1252612497.5200    0     -0.14 
  1183   1252612503.6080    0     -0.14 
  1184   1252612509.5960    0     -0.14 
  1185   1252612515.5560    0     -0.14 
  1186   1252612521.5360    0     -0.14 
  1187   1252612527.4400    0     -0.14 
  1188   1252612533.2680    0     -0.14 
  1189   1252612539.3560    0     -0.14 
  1190   1252612545.1760    0     -0.14 
  1191   1252612551.1520    0     -0.14 
  1192   1252612557.0200    0     -0.14 
  1193   1252612563.0280    0     -0.14 
  1194   1252612568.8240    0     -0.14 
  1195   1252612574.5840    0     -0.14 
  1196   1252612580.6480    0     -0.14 
  1197   1252612586.5320    0     -0.14 
  1198   1252612592.4400    0     -0.14 
  1199   1252612598.5000    0     -0.14 
  1200   1252612604.4560    0     -0.14 
  1201   1252612610.2960    0     -0.14 
  1202   1252612616.3040    0     -0.14 
  1203   1252612622.1200    0     -0.14 
  1204   1252612628.0400    0     -0.14 
  1205   1252612634.1560    0     -0.14 
  1206   1252612640.1440    0     -0.14 
  1207   1252612646.2480    0     -0.14 
  1208   1252612652.2640    0     -0.14 
  1209   1252612658.1560    0     -0.14 
  1210   1252612664.3360    0     -0.14 
  1211   1252612670.2680    0     -0.14 
  1212   1252612676.2080    0     -0.14 
  1213   1252612682.3080    0     -0.14 
  1214   1252612688.0520    0     -0.14 
  1215   1252612694.1640    0     -0.14 
  1216   1252612700.0720    0     -0.14 
  1217   1252612705.8880    0     -0.14 
  1218   1252612711.7560    0     -0.14 
  1219   1252612717.8600    0     -0.14 
  1220   1252612723.8000    0     -0.14 
  1221   1252612729.6280    0     -0.14 
  1222   1252612735.5000    0     -0.14 
  1223   1252612741.2120    0     -0.14 
  1224   1252612746.9360    0     -0.14 
  1225   1252612752.8080    0     -0.14 
  1226   1252612758.8400    0     -0.14 
  1227   1252612764.5600    0     -0.14 
  1228   1252612770.4200    0     -0.14 
  1229   1252612776.2920    0     -0.14 
  1230   1252612782.0400    0     -0.14 
