# UltraTide data for line test23/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  5778   1251049470.0480    0     0.06 
  5778   1251060232.0920    0     -0.12 
  5777   1251060244.5920    0     -0.12 
  5776   1251060257.0920    0     -0.12 
  5775   1251060269.5920    0     -0.12 
  5774   1251060282.0920    0     -0.12 
  5773   1251060294.5920    0     -0.12 
  5772   1251060307.0920    0     -0.12 
  5771   1251060319.5920    0     -0.12 
  5770   1251060332.0920    0     -0.12 
  5769   1251060344.5920    0     -0.12 
  5768   1251060357.0920    0     -0.12 
  5767   1251060369.5920    0     -0.12 
  5766   1251060382.0920    0     -0.12 
  5765   1251060394.5920    0     -0.12 
  5764   1251060407.0920    0     -0.12 
  5763   1251060419.5920    0     -0.12 
  5762   1251060432.0920    0     -0.12 
  5761   1251060444.5920    0     -0.12 
  5760   1251060457.0920    0     -0.12 
  5759   1251060469.5920    0     -0.12 
  5758   1251060482.0920    0     -0.12 
  5757   1251060494.5920    0     -0.12 
  5756   1251060507.0920    0     -0.12 
  5755   1251060519.5920    0     -0.12 
  5754   1251060532.0920    0     -0.12 
  5753   1251060544.5920    0     -0.12 
  5752   1251060557.0920    0     -0.12 
  5751   1251060569.5920    0     -0.12 
  5750   1251060582.0920    0     -0.12 
  5749   1251060594.5920    0     -0.12 
  5748   1251060607.0920    0     -0.14 
  5747   1251060619.5920    0     -0.14 
  5746   1251060632.0920    0     -0.14 
  5745   1251060644.5920    0     -0.14 
  5744   1251060657.0920    0     -0.14 
  5743   1251060669.5920    0     -0.14 
  5742   1251060682.0920    0     -0.14 
  5741   1251060694.5920    0     -0.14 
  5740   1251060707.0920    0     -0.14 
  5739   1251060719.5920    0     -0.14 
  5738   1251060732.0920    0     -0.14 
  5737   1251060744.5920    0     -0.14 
  5736   1251060757.0920    0     -0.14 
  5735   1251060769.5920    0     -0.14 
  5734   1251060782.0920    0     -0.14 
  5733   1251060794.5920    0     -0.14 
  5732   1251060807.0920    0     -0.14 
  5731   1251060819.5920    0     -0.14 
  5730   1251060832.0920    0     -0.14 
  5729   1251060844.5920    0     -0.14 
  5728   1251060857.0920    0     -0.14 
  5727   1251060869.5920    0     -0.14 
  5726   1251060882.0920    0     -0.14 
  5725   1251060894.5920    0     -0.14 
  5724   1251060907.0920    0     -0.14 
  5723   1251060919.5920    0     -0.14 
  5722   1251060932.0920    0     -0.14 
  5721   1251060944.5920    0     -0.14 
  5720   1251060957.0920    0     -0.14 
  5719   1251060969.5920    0     -0.14 
  5718   1251060982.0920    0     -0.14 
  5717   1251060994.5920    0     -0.14 
  5716   1251061007.0920    0     -0.14 
  5715   1251061019.5920    0     -0.14 
  5714   1251061032.0920    0     -0.14 
  5713   1251061044.5920    0     -0.14 
  5712   1251061057.0920    0     -0.14 
  5711   1251061069.5920    0     -0.14 
  5710   1251061082.0920    0     -0.14 
  5709   1251061094.5920    0     -0.14 
  5708   1251061107.0920    0     -0.14 
  5707   1251061119.5920    0     -0.14 
  5706   1251061132.0920    0     -0.14 
  5705   1251061144.5920    0     -0.14 
  5704   1251061157.0920    0     -0.14 
  5703   1251061169.5920    0     -0.14 
  5702   1251061182.0920    0     -0.14 
  5701   1251061194.5920    0     -0.14 
  5700   1251061207.0920    0     -0.19 
  5699   1251061219.5920    0     -0.19 
  5698   1251061232.0920    0     -0.19 
  5697   1251061244.5920    0     -0.19 
  5696   1251061257.0920    0     -0.19 
  5695   1251061269.5920    0     -0.19 
  5694   1251061282.0920    0     -0.19 
  5693   1251061294.5920    0     -0.19 
  5692   1251061307.0920    0     -0.19 
  5691   1251061319.5920    0     -0.19 
  5690   1251061332.0920    0     -0.19 
  5689   1251061344.5920    0     -0.19 
  5688   1251061357.0920    0     -0.19 
  5687   1251061369.5920    0     -0.19 
  5686   1251061382.0920    0     -0.19 
  5685   1251061394.5920    0     -0.19 
  5684   1251061407.0920    0     -0.19 
  5683   1251061419.5920    0     -0.19 
  5682   1251061432.0920    0     -0.19 
  5681   1251061444.5920    0     -0.19 
  5680   1251061457.0920    0     -0.19 
  5679   1251061469.5920    0     -0.19 
  5678   1251061482.0920    0     -0.19 
  5677   1251061494.5920    0     -0.19 
  5676   1251061507.0920    0     -0.19 
  5675   1251061519.5920    0     -0.19 
  5674   1251061532.0920    0     -0.19 
  5673   1251061544.5920    0     -0.19 
  5672   1251061557.0920    0     -0.19 
  5671   1251061569.5920    0     -0.19 
  5670   1251061582.0920    0     -0.19 
  5669   1251061594.5920    0     -0.19 
  5668   1251061607.0920    0     -0.19 
  5667   1251061619.5920    0     -0.19 
  5666   1251061632.0920    0     -0.19 
  5665   1251061644.5920    0     -0.19 
  5664   1251061657.0920    0     -0.19 
  5663   1251061669.5920    0     -0.19 
  5662   1251061682.0920    0     -0.19 
  5661   1251061694.5920    0     -0.19 
  5660   1251061707.0920    0     -0.19 
  5659   1251061719.5920    0     -0.19 
  5658   1251061732.0920    0     -0.19 
  5657   1251061744.5920    0     -0.19 
  5656   1251061757.0920    0     -0.19 
  5655   1251061769.5920    0     -0.19 
  5654   1251061782.0920    0     -0.19 
  5653   1251061794.5920    0     -0.19 
  5652   1251061807.0920    0     -0.18 
  5651   1251061819.5920    0     -0.18 
  5650   1251061832.0920    0     -0.18 
  5649   1251061844.5920    0     -0.18 
  5648   1251061857.0920    0     -0.18 
  5647   1251061869.5920    0     -0.18 
  5646   1251061882.0920    0     -0.18 
  5645   1251061894.5920    0     -0.18 
  5644   1251061907.0920    0     -0.18 
  5643   1251061919.5920    0     -0.18 
  5642   1251061932.0920    0     -0.18 
  5641   1251061944.5920    0     -0.18 
  5640   1251061957.0920    0     -0.18 
  5639   1251061969.5920    0     -0.18 
  5638   1251061982.0920    0     -0.18 
  5637   1251061994.5920    0     -0.18 
  5636   1251062007.0920    0     -0.18 
  5635   1251062019.5920    0     -0.18 
  5634   1251062032.0920    0     -0.18 
  5633   1251062044.5920    0     -0.18 
  5632   1251062057.0920    0     -0.18 
  5631   1251062069.5920    0     -0.18 
  5630   1251062082.0920    0     -0.18 
  5629   1251062094.5920    0     -0.18 
  5628   1251062107.0920    0     -0.18 
  5627   1251062119.5920    0     -0.18 
  5626   1251062132.0920    0     -0.18 
  5625   1251062144.5920    0     -0.18 
  5624   1251062157.0920    0     -0.18 
  5623   1251062169.5920    0     -0.18 
  5622   1251062182.0920    0     -0.18 
  5621   1251062194.5920    0     -0.18 
  5620   1251062207.0920    0     -0.18 
  5619   1251062219.5920    0     -0.18 
  5618   1251062232.0920    0     -0.18 
  5617   1251062244.5920    0     -0.18 
  5616   1251062257.0920    0     -0.18 
  5615   1251062269.5920    0     -0.18 
  5614   1251062282.0920    0     -0.18 
  5613   1251062294.5920    0     -0.18 
  5612   1251062307.0920    0     -0.18 
  5611   1251062319.5920    0     -0.18 
  5610   1251062332.0920    0     -0.18 
  5609   1251062344.5920    0     -0.18 
  5608   1251062357.0920    0     -0.18 
  5607   1251062369.5920    0     -0.18 
  5606   1251062382.0920    0     -0.18 
  5605   1251062394.5920    0     -0.18 
  5604   1251062407.0920    0     -0.12 
  5603   1251062419.5920    0     -0.12 
  5602   1251062432.0920    0     -0.12 
  5601   1251062444.5920    0     -0.12 
  5600   1251062457.0920    0     -0.12 
  5599   1251062469.5920    0     -0.12 
  5598   1251062482.0920    0     -0.12 
  5597   1251062494.5920    0     -0.12 
  5596   1251062507.0920    0     -0.12 
  5595   1251062519.5920    0     -0.12 
  5594   1251062532.0920    0     -0.12 
  5593   1251062544.5920    0     -0.12 
  5592   1251062557.0920    0     -0.12 
  5591   1251062569.5920    0     -0.12 
  5590   1251062582.0920    0     -0.12 
  5589   1251062594.5920    0     -0.12 
  5588   1251062607.0920    0     -0.12 
  5587   1251062619.5920    0     -0.12 
  5586   1251062632.0920    0     -0.12 
  5585   1251062644.5920    0     -0.12 
  5584   1251062657.0920    0     -0.12 
  5583   1251062669.5920    0     -0.12 
  5582   1251062682.0920    0     -0.12 
  5581   1251062694.5920    0     -0.12 
  5580   1251062707.0920    0     -0.12 
  5579   1251062719.5920    0     -0.12 
  5578   1251062732.0920    0     -0.12 
