# UltraTide data for line linechange20x/a20x
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
 10667   1251749335.0040    0     0.11 
 10666   1251749344.0040    0     0.11 
 10665   1251749353.0040    0     0.11 
 10664   1251749362.0040    0     0.11 
 10663   1251749371.0040    0     0.11 
 10662   1251749380.0040    0     0.11 
 10661   1251749389.0040    0     0.11 
 10587   1251749396.2240    0     0.11 
 10586   1251749405.2240    0     0.12 
 10585   1251749414.2240    0     0.12 
 10584   1251749423.2240    0     0.12 
 10583   1251749432.2240    0     0.12 
 10582   1251749441.2240    0     0.12 
 10581   1251749450.2240    0     0.12 
 10580   1251749459.2240    0     0.12 
 10579   1251749468.2240    0     0.12 
 10578   1251749477.2240    0     0.12 
 10577   1251749486.2240    0     0.12 
 10576   1251749495.2240    0     0.12 
 10575   1251749504.2240    0     0.12 
 10574   1251749513.2240    0     0.12 
 10573   1251749522.2240    0     0.12 
 10572   1251749531.2240    0     0.12 
 10571   1251749540.2240    0     0.12 
 10570   1251749549.2240    0     0.12 
 10569   1251749558.2240    0     0.12 
 10567   1251749576.2240    0     0.12 
 10566   1251749585.2240    0     0.12 
 10565   1251749594.2240    0     0.12 
 10564   1251749603.2240    0     0.12 
 10563   1251749612.2240    0     0.12 
 10562   1251749621.2240    0     0.12 
 10561   1251749630.2240    0     0.12 
 10560   1251749639.2240    0     0.12 
 10559   1251749648.2240    0     0.12 
 10558   1251749657.2240    0     0.12 
 10557   1251749666.2240    0     0.12 
 10556   1251749675.2240    0     0.12 
 10465   1251749786.7200    0     0.12 
 10464   1251749795.7200    0     0.12 
 10463   1251749804.7200    0     0.12 
 10462   1251749813.7200    0     0.12 
 10461   1251749822.7200    0     0.12 
 10460   1251749831.7200    0     0.12 
 10459   1251749840.7200    0     0.12 
 10458   1251749849.7200    0     0.12 
 10457   1251749858.7200    0     0.12 
 10456   1251749867.7200    0     0.12 
 10455   1251749876.7200    0     0.12 
 10454   1251749885.7200    0     0.12 
 10453   1251749894.7200    0     0.12 
 10452   1251749903.7200    0     0.12 
 10451   1251749912.7200    0     0.12 
 10450   1251749921.7200    0     0.12 
 10449   1251749930.7200    0     0.12 
 10448   1251749939.7200    0     0.12 
 10447   1251749948.7200    0     0.12 
 10446   1251749957.7200    0     0.12 
 10445   1251749966.7200    0     0.12 
 10444   1251749975.7200    0     0.12 
 10443   1251749984.7200    0     0.12 
 10442   1251749993.7200    0     0.12 
 10441   1251750002.7200    0     0.14 
 10440   1251750011.7200    0     0.14 
